"Compound ChEMBL ID","Name",SMILES
"CHEMBL3139247","SEGATROXABAN","Cc1c(N2CCCC2=O)cccc1S(=O)(=O)N[C@@H](CNC(=O)c1ccc(Cl)s1)C(=O)N1CCN(C)CC1"
"CHEMBL2107809","VARESPLADIB SODIUM","CCc1c(C(=O)C(N)=O)c2c(OCC(=O)[O-])cccc2n1Cc1ccccc1.[Na+]"
"CHEMBL2105699","ATOPAXAR HYDROBROMIDE","Br.CCOc1cc2c(c(F)c1OCC)C(=N)N(CC(=O)c1cc(N3CCOCC3)c(OC)c(C(C)(C)C)c1)C2"
"CHEMBL2104499","TEMOCAPRIL HYDROCHLORIDE","CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CS[C@H](c2cccs2)CN(CC(=O)O)C1=O.Cl"
"CHEMBL2107711","TRIFENAGREL","CN(C)CCOc1ccccc1-c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1"
"CHEMBL1877495","BENMOXIN","CC(NNC(=O)c1ccccc1)c1ccccc1"
"CHEMBL2104522","SUNAGREL","CC(C)Sc1ccc([C@H](O)[C@@H](C)N2CCN(C(=O)/C=C/c3ccccc3)CC2)cc1"
"CHEMBL2106052","CIMEMOXIN","NNCC1CCCCC1"
"CHEMBL16332","ZOFENOPRILAT","C[C@H](CS)C(=O)N1C[C@@H](Sc2ccccc2)C[C@H]1C(=O)O"
"CHEMBL2105775","ZANKIREN HYDROCHLORIDE","CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@H](Cc1ccccc1)CS(=O)(=O)N1CCN(C)CC1.Cl"
"CHEMBL36503","CERONAPRIL","C21H33N2O6P"
"CHEMBL2104949","TOPRILIDINE","Cc1ccccc1N1CCN(CCCOc2ccccn2)CC1"
"CHEMBL2105038","DOMOXIN","NN(Cc1ccccc1)CC1COc2ccccc2O1"
"CHEMBL5314442","SITAGLIPTIN FENILALANIL","N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F"
"CHEMBL359570","ICOPEZIL","O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1"
"CHEMBL3652780","TIGULIXOSTAT","CC(C)n1cc(C#N)c2cc(-n3cc(C(=O)O)cn3)ccc21"
"CHEMBL5095090","ANSORNITINIB","COC(=O)c1ccc2c(n1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1"
"CHEMBL4297665","ICOTINIB HYDROCHLORIDE","C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1.Cl"
"CHEMBL2103871","ALISERTIB SODIUM","COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)[O-].O.[Na+]"
"CHEMBL63055","ALRESTATIN","O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O"
"CHEMBL2107578","SIBOPIRDINE","c1cnc2c(c1)C(Cc1ccncc1)(Cc1ccncc1)c1cccnc1-2"
"CHEMBL2106525","BRASOFENSINE MALEATE","CO/N=C/[C@@H]1[C@@H](c2ccc(Cl)c(Cl)c2)C[C@@H]2CC[C@H]1N2C.O=C(O)/C=C\C(=O)O"
"CHEMBL3039536","CINDUNISTAT HYDROCHLORIDE MALEATE","CC(=N)NCCSC[C@](C)(N)C(=O)O.CC(=N)NCCSC[C@](C)(N)C(=O)O.Cl.O=C(O)/C=C\C(=O)O"
"CHEMBL3040926","CINDUNISTAT","CC(=N)NCCSC[C@](C)(N)C(=O)O"
"CHEMBL325166","NAPSAGATRAN ANHYDROUS","N=C(N)N1CCC[C@@H](CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)C2CC2)C1"
"CHEMBL279786","BATIMASTAT","CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc1cccs1)C(=O)NO"
"CHEMBL2106429","METESIND GLUCURONATE","CN(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc2c3c(cccc13)C(=N)N2.O=C(O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O"
"CHEMBL2106126","DELAPRIL HYDROCHLORIDE","CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1.Cl"
"CHEMBL280728","RIDOGREL","O=C(O)CCCCO/N=C(/c1cccnc1)c1cccc(C(F)(F)F)c1"
"CHEMBL1201391","TENIVASTATIN","CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21"
"CHEMBL277689","SAMIXOGREL","O=C(O)CCC/C=C(\c1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1)c1cccnc1"
"CHEMBL489079","MOFEGILINE","NC/C(=C/F)CCc1ccc(F)cc1"
"CHEMBL2108759","RHO (D) IMMUNE GLOBULIN",""
"CHEMBL7679","PONALRESTAT","C17H12BrFN2O3"
"CHEMBL3707361","INDOLAPRIL HYDROCHLORIDE","CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21.Cl"
"CHEMBL331369","INDOLAPRIL","CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21"
"CHEMBL1201373","LOVASTATIN ACID","CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21"
"CHEMBL2218897","DALVASTATIN","Cc1cc(C2=C(/C=C/C3CC(O)CC(=O)O3)C(C)(C)CC(C)(C)C2)ccc1F"
"CHEMBL2105716","LESINURAD SODIUM","O=C([O-])CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12.[Na+]"
"CHEMBL2105657","TOZASERTIB LACTATE","C[C@H](O)C(=O)O.Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1"
"CHEMBL2105696","TEMANOGREL HYDROCHLORIDE","COc1cccc(C(=O)Nc2ccc(OCCN3CCOCC3)c(-c3ccnn3C)c2)c1.Cl"
"CHEMBL2364604","BUPARLISIB HYDROCHLORIDE","Cl.Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1"
"CHEMBL115653","CIPEMASTAT","CN1C(=O)N(C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCCCC2)C(=O)C1(C)C"
"CHEMBL56318","METIOPRIM","COc1cc(Cc2cnc(N)nc2N)cc(OC)c1SC"
"CHEMBL6068026","PADOPRAZAN","CNCc1cn(S(=O)(=O)c2ccc(OC)nc2)c(-c2ccccc2F)c1OC"
"CHEMBL273196","EFEGATRAN","CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N"
"CHEMBL3544982","TESEVATINIB TOSYLATE","COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1.Cc1ccc(S(=O)(=O)O)cc1"
"CHEMBL2107326","DASANTAFIL","CCn1c(=O)c2c(nc(N[C@@H]3CCC[C@H]3O)n2Cc2ccc(OC)c(Br)c2)n(CCO)c1=O"
"CHEMBL2107329","DENIBULIN HYDROCHLORIDE","COC(=O)Nc1nc2cc(Sc3ccc(NC(=O)[C@H](C)N)cc3)ccc2[nH]1.Cl"
"CHEMBL6068077","ULACAMTEN","C[C@H]1CC[C@H](N2CC(=O)N(Cc3ccc(F)c(F)c3)C3(CN(C=O)C3)C2=O)CC1"
"CHEMBL2051970","PIVOPRIL","C[C@H](CSC(=O)C(C)(C)C)C(=O)N(CC(=O)O)C1CCCC1"
"CHEMBL3354637","NIZUBAGLUSTAT","OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)c(F)c1"
"CHEMBL1098285","DISTIGMINE BROMIDE","CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1.[Br-].[Br-]"
"CHEMBL496978","IOFOLASTAT I 123","O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccc([123I])cc1)C(=O)O)C(=O)O"
"CHEMBL54440","MEVASTATIN","CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21"
"CHEMBL2104660","DEXECADOTRIL","CC(=O)SC[C@H](Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1"
"CHEMBL2107586","TERESTIGMINE","CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)O[C@@H]1N2C"
"CHEMBL2107466","SATIGREL","COc1ccc(C(=C(C#N)CCC(=O)O)c2ccc(OC)cc2)cc1"
"CHEMBL2104358","LAPISTERIDE","COc1ccc(C(C)(C)NC(=O)[C@H]2CC[C@H]3[C@@H]4CC[C@H]5NC(=O)C=C[C@]5(C)[C@H]4CC[C@]23C)cc1"
