PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Primary % CPE Inhibition @ 20 uM (Rep 1),Primary % CPE Inhibition @ 20 uM (Rep 2)
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_UNIT,,,,,,,,PERCENT,PERCENT
160,22403224,880171,CC(C)C1=CC=C(C=C1)C(=O)NC(=S)NCC2=CN=CC=C2,Inactive,0,,,1.19,0
161,22403340,1339945,CC1=CC(=CC=C1)OCC(=O)NC2=CC=CC=C2C(=O)N3CCOCC3,Inactive,0,,,0,0
162,22404483,880268,CCOC1=CC=C(C=C1)C(=O)NC(=S)NCC2=CN=CC=C2,Inactive,0,,,0,0.54
163,22403341,2771402,CC(C1=CC=CC=C1)NC2=C(C=CC(=C2)N3CCNCC3)[N+](=O)[O-],Inactive,1,,,0,1.74
164,22403357,2900542,CCCCN(C)CCC(=O)NC1=CC=C(C=C1)C.Cl,Inactive,0,,,0,0.13
165,22403336,1340189,CCC(=O)NC1=CC=C(C=C1)NC(=S)NC(=O)C2=CC3=CC=CC=C3O2,Inactive,0,,,0,0
166,22403354,881931,CC1=CC(=CC=C1)C(=O)NC(=S)NCC2=CN=CC=C2,Inactive,0,,,0,0.02
167,22403355,585653,C1CCC(C1)NC(=O)CSCC(=O)NC2=CC=CC=C2,Inactive,0,,,0,0
168,22404486,2771419,C1CN(CCN1)C2=CC(=C(C=C2)[N+](=O)[O-])NCC3=CC=CO3,Inactive,0,,,0,0
169,17503723,2299113,CCCCOC(=O)C1=CC=C(O1)S(=O)(=O)N,Inactive,0,,,0,0
170,22403110,2901361,CCCCN(C)CCC(=O)NC1=CC=C(C=C1)Cl.Cl,Inactive,2,,,4.26,0
171,17504602,882881,C1=COC(=C1)/C=C/C=C\2/C(=O)NN(C2=O)C3=CC=C(C=C3)F,Inactive,2,,,4.03,4.34
172,22415758,2901824,CC1=CC=C(C=C1)NC(=O)C2=CC(=C(C=C2)NCCN)[N+](=O)[O-],Inactive,3,,,0.34,7.62
173,22415729,883252,C1COCCN1CCNC(=S)NC2=CC=CC=C2Cl,Inactive,0,,,0,0
174,22415686,2902009,CC1=C(C=C(C=C1)NC(=O)C2=CC(=C(C=C2)NCCN)[N+](=O)[O-])Cl,Inactive,0,,,0,0.44
175,22415731,741879,C1CCC2=C(CC1)SC3=C2C(=N)N(C=N3)CC4=CC=CO4,Inactive,1,,,1.33,1.84
