PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Calu_1_Mean,Calu_1[1],Calu_1[2],Calu_1[3]
14,134220684,56593078,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=C(C=CC(=C4Cl)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1LFM,81.6606,77.4478,80.4331,87.1008
15,134220704,56593079,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=CC=N4.C(=O)(C(F)(F)F)O,Inactive,0,,1LFB,93.5347,95.6643,98.7066,86.2331
16,134220703,56593060,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=C5C(=CC=C4)OCO5.C(=O)(C(F)(F)F)O,Inactive,0,,1LF0,102.378,97.4772,105.057,104.601
17,134220701,56593084,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)CC4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,1LF4,99.3261,83.2921,102.053,112.633
18,134220689,56593088,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=C(C=CC(=C4Cl)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1LFA,106.053,85.6439,116.172,116.344
19,134220688,56593048,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC(=CC=C4)[N+](=O)[O-].C(=O)(C(F)(F)F)O,Inactive,0,,1LGB,101.145,78.8678,109.593,114.973
20,134220700,56593086,COC1=CC(=CC(=C1OC)OC)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,1LFC,112.668,104.522,113.83,119.651
21,134220680,56593092,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=C(C=C(C=C4)Cl)Cl.C(=O)(C(F)(F)F)O,Active,100,,1LGM,71.6005,65.8276,70.4753,78.4985
22,134220679,56593071,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=CC=CC=C4I.C(=O)(C(F)(F)F)O,Inactive,0,,1LDM,91.5559,92.7619,84.815,97.0909
23,134220693,56593075,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=CC(=CC=C4)C(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1LDN,82.3068,72.2103,82.5244,92.1857
24,134220678,56593083,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=C(C=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Active,100,,1LDT,28.7961,28.1443,27.3017,30.9424
25,134220692,56593049,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,1LFL,24.0133,14.4908,28.5182,29.031
26,134220691,56593087,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=CC=C(C=C4)Br.C(=O)(C(F)(F)F)O,Active,100,,1LGA,10.1828,13.4087,7.86099,9.27876
27,134220690,56593066,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=CC=CC5=CC=CC=C54.C(=O)(C(F)(F)F)O,Active,100,,1LFD,64.4779,57.6784,58.7578,76.9973
28,134220677,56593090,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O,Active,100,,1LF3,45.7059,40.8545,46.0217,50.2414
