PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,HEK293_PLD2_Mean,HEK293_PLD2[1],HEK293_PLD2[2],HEK293_PLD2[3],HEK293_PLD2[4],HEK293_PLD2[5],HEK293_PLD2[6]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
32,126496551,53469893,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)I)NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,103L_lib_29,100.73,103.838,110.962,87.3908,,,
33,126496552,53469895,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)I)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,10PN_lib_29,72.6699,73.2005,65.1538,79.6553,,,
34,126496557,53469902,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,104E_lib_28,51.1542,44.2969,53.196,55.9699,,,
35,126496558,46939579,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,10GF_lib_28,40.0507,41.9745,42.5941,35.5835,,,
36,126496559,53469904,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,104D_lib_28,55.3003,59.0677,53.4167,53.4167,,,
37,126496560,46938534,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,10GE_lib_28,10.4276,6.50034,9.33289,15.4497,,,
38,126496561,46939672,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,11KJ_lib_28,54.4316,53.3009,57.8572,52.1367,,,
39,126496562,53469906,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,11VG_lib_28,29.6557,27.8062,24.6376,36.5234,,,
40,126496563,53469907,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,11UP_lib_28,48.9926,44.8031,55.771,46.4036,,,
41,126496564,46938428,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,11TT_lib_28,58.3526,54.8541,60.1018,60.1018,,,
