PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,HEK293_PLD2_Mean,HEK293_PLD2[1],HEK293_PLD2[2],HEK293_PLD2[3],HEK293_PLD2[4],HEK293_PLD2[5],HEK293_PLD2[6]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
189,126496714,53470152,C1CC(N(C1)C(=O)C2=CC3=CC=CC=C3C=C2)CN4CCC(CC4)N5C6=CC=CC=C6NC5=O,Active,100,,CVH_lib_19,49.9462,59.4165,45.8502,44.572,,,
190,126496715,53470152,C1CC(N(C1)C(=O)C2=CC3=CC=CC=C3C=C2)CN4CCC(CC4)N5C6=CC=CC=C6NC5=O,Inactive,0,,CVE_lib_19,63.1686,83.1593,56.2878,50.0588,,,
191,126496716,53470153,C1CN(CCC12CCN(C2=O)C3=CC=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5N=C4,Active,100,,CW3_lib_19,42.2975,35.0039,48.338,43.5506,,,
192,126496717,53470154,C1CN(CCC12C3=CC=CC=C3OC2=O)CCNC(=O)C4=CC5=CC=CC=C5N=C4,Inactive,0,,CW0_lib_19,57.3732,62.6922,53.6701,55.7573,,,
193,126496718,53470155,C1CN(CCC1N2C3=CC=CC=C3NC2=O)C[C@H](CC4=CC=CC=C4)NC(=O)C5=CC6=CC=CC=C6N=C5,Inactive,0,,CT4_lib_19,60.1762,52.2006,53.3882,74.9398,,,
194,126496719,53470156,C1CC(N(C1)C(=O)C2=CC3=CC=CC=C3N=C2)CN4CCC(CC4)N5C6=CC=CC=C6NC5=O,Inactive,0,,CUU_lib_19,54.1818,41.6947,58.7162,62.1345,,,
195,126496720,53470157,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,F18_lib_18,105.345,102.785,111.047,102.204,,,
196,126496721,53470159,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC(=C(C=C4)Cl)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,F57_lib_18,76.3322,76.4881,78.4303,74.0782,,,
197,126496722,53470161,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,F0J_lib_18,75.6023,75.024,73.3905,78.3924,,,
198,126496723,53470163,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)CSC4=CC=CC=C4.C(=O)(C(F)(F)F)O,Inactive,0,,F1J_lib_18,86.6663,86.8132,82.4491,90.7365,,,
199,126496724,53470165,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C(C)C.C(=O)(C(F)(F)F)O,Inactive,0,,F5H_lib_18,106.086,106.765,101.931,109.561,,,
200,126496725,53470167,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)CC4=CC=CS4.C(=O)(C(F)(F)F)O,Inactive,0,,F0W_lib_18,99.5601,99.3714,98.482,100.827,,,
201,126496726,53470169,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)COC4=CC=CC=C4.C(=O)(C(F)(F)F)O,Inactive,0,,F7Q_lib_18,88.2266,89.1235,87.9457,87.6107,,,
202,126496727,53470171,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Inactive,0,,F16_lib_18,97.0915,92.5244,101.819,96.9313,,,
203,126496728,53470173,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CN=CC=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,F0V_lib_18,97.2698,98.0508,92.0926,101.666,,,
204,126496729,53470175,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC=C(C=C4)C(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,0,,F1G_lib_18,76.1796,68.9696,78.3188,81.2503,,,
205,126496730,53470177,C[C@@H](CN1CCC2(CC1)C3=CC=CC=C3N(C2=O)CC4=CC=CC=C4)NC(=O)C5=CC6=CC=CC=C6C=C5.C(=O)(C(F)(F)F)O,Inactive,0,,FRL_lib_18,71.578,62.587,71.1512,80.9959,,,
206,126496731,53470179,C1CN(CCC12C3=CC=CC=C3N(C2=O)CC4=CC=CC=C4)CCNC(=O)C5=CC6=CC=CC=C6C=C5.C(=O)(C(F)(F)F)O,Inactive,0,,FTV_lib_18,70.5741,68.5207,75.3351,67.8664,,,
207,126496732,53470181,C[C@@H](CN1CCC(CC1)N2C3=C(C(=CC=C3)F)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,EUW_lib_17,106.272,107.171,103.327,108.318,,,
208,126496733,53470182,C[C@@H](CN1CCC(CC1)N2C3=C(C(=CC=C3)F)NC2=O)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,EXD_lib_17,97.9102,108.997,89.8662,94.8674,,,
209,126496734,53470183,C[C@@H](CN1CCC(CC1)N2C3=C(C(=CC=C3)F)NC2=O)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,EWQ_lib_17,96.2882,86.0597,103.814,98.9911,,,
210,126496735,53470184,C[C@@H](CN1CCC(CC1)N2C3=C(C(=CC=C3)F)NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,EV6_lib_17,108.093,100.404,113.835,110.039,,,
211,126496736,53470185,C[C@@H](CN1CCC(CC1)N2C3=C(C(=CC=C3)F)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,EVG_lib_17,114.815,119.783,101.288,123.374,,,
212,126496737,53470186,CC1=CC=C(C=C1)C(=O)N[C@@H](C)CN2CCC(CC2)N3C4=C(C(=CC=C4)F)NC3=O.C(=O)(C(F)(F)F)O,Inactive,0,,EVU_lib_17,98.2431,94.4535,94.843,105.433,,,
213,126496738,53470188,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,EUV_lib_17,79.3633,88.2516,76.8364,73.0019,,,
214,126496739,53470188,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,EW5_lib_17,65.6308,56.9981,57.7205,82.1738,,,
215,126496740,53470189,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,EXC_lib_17,80.3902,77.7148,74.3895,89.0664,,,
216,126496741,53470191,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,EV7_lib_17,68.7183,64.6102,67.708,73.8368,,,
217,126496742,53470192,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,EUX_lib_17,63.8601,62.7505,62.7096,66.1201,,,
218,126496743,53470194,CC1=CC=C(C=C1)C(=O)N[C@@H](C)CN2CCC(CC2)N3C4=C(C=C(C=C4)Br)NC3=O.C(=O)(C(F)(F)F)O,Inactive,0,,EX2_lib_17,74.0415,76.2922,68.976,76.8564,,,
219,126496744,53470196,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,EXA_lib_16,77.0084,75.7641,77.2788,77.9823,,,
220,126496745,53470197,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,EX5_lib_16,82.7879,82.1059,84.9288,81.329,,,
221,126496746,53470198,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,EWT_lib_16,86.0162,96.251,82.4667,79.3309,,,
222,126496747,53470047,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,EWE_lib_16,90.9664,94.2747,87.5437,91.0809,,,
223,126496748,53470199,CC1=CC=C(C=C1)C(=O)N[C@@H](C)CN2CCC(CC2)N3C4=C(C=C(C=C4)Cl)NC3=O.C(=O)(C(F)(F)F)O,Inactive,0,,EXX_lib_16,86.0164,84.5483,81.7534,91.7475,,,
224,126496749,53470201,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)F)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,EW3_lib_16,81.4433,81.573,77.0746,85.6824,,,
225,126496750,53470202,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)F)NC2=O)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,EX1_lib_16,80.8566,85.265,80.6034,76.7014,,,
226,126496751,53470203,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)F)NC2=O)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,EXQ_lib_16,85.2398,91.4206,84.8059,79.4929,,,
227,126496752,53470205,C[C@@H](CN1CCC(CC1)N2C3=C(C=CC(=C3)F)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,EXR_lib_16,68.27,59.3695,55.1923,90.2483,,,
228,126496753,53470207,C[C@@H](CN1CCC(CC1)N2C3=C(C=CC(=C3)F)NC2=O)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,EWR_lib_16,66.8284,55.8363,73.1839,71.465,,,
229,126496754,53470209,C[C@@H](CN1CCC(CC1)N2C3=C(C=CC(=C3)F)NC2=O)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,EXW_lib_16,52.5892,47.3681,52.773,57.6264,,,
230,126496755,53470211,C[C@@H](CN1CCC(CC1)N2C3=C(C=CC(=C3)F)NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,EXE_lib_16,54.3,45.91,57.9588,59.0311,,,
231,126496756,53470212,C[C@@H](CN1CCC(CC1)N2C3=C(C=CC(=C3)F)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,EXF_lib_16,76.9504,74.8798,69.4141,86.5572,,,
232,126496757,53470213,CC1=CC=C(C=C1)C(=O)N[C@@H](C)CN2CCC(CC2)N3C4=C(C=CC(=C4)F)NC3=O.C(=O)(C(F)(F)F)O,Inactive,0,,EW4_lib_16,64.0067,56.9031,71.5817,63.5353,,,
233,126496758,53470215,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCCCCNC(=O)C4=CC5=CC=CC=C5C=C4,Inactive,0,,AQ4_lib_15,132.851,90.2702,104.57,203.713,,,
234,126496759,53470216,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCCCCNC(=O)C4=CC5=CC=CC=C5N=C4,Inactive,0,,AQ7_lib_15,127,85.2077,150.816,144.977,,,
235,126496760,53470217,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCNC(=O)C4=CC5=CC=CC=C5C=C4,Inactive,0,,APL_lib_15,97.962,99.6777,93.533,100.675,,,
236,126496761,53470218,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCNC(=O)C4=CC5=CC=CC=C5N=C4,Inactive,0,,AP9_lib_15,96.4056,107.368,89.7998,92.0484,,,
237,126496762,53470219,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCNC(=O)C4=CC5=CC=CC=C5C=C4,Inactive,0,,APK_lib_15,63.9392,39.2011,80.8997,71.7168,,,
238,126496763,44573642,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCNC(=O)C4C[C@H]4C5=CC=CC=C5,Inactive,0,,APR_lib_15,92.1225,119.637,74.1737,82.5573,,,
239,126496764,65490,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCNC(=O)C4=CC=C(C=C4)F,Inactive,0,,APU_lib_15,59.7038,64.9996,66.6782,47.4336,,,
240,126496765,53470220,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCNC(=O)C4=CC=C(C=C4)Cl,Inactive,0,,AP0_lib_15,56.8757,57.0406,62.3637,51.2227,,,
241,126496766,21429000,CC1=CC=C(C=C1)C(=O)NCCN2CCC(CC2)N3C4=C(C=C(C=C4)Cl)NC3=O,Inactive,0,,AQ5_lib_15,51.8754,57.374,52.9005,45.3518,,,
242,126496767,53470221,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCN4C(=O)C5=CC=CC=C5C4=O,Inactive,0,,AP1_lib_15,86.4803,78.618,86.2274,94.5954,,,
243,126496768,21357370,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCN4C(=O)C5=CC=CC=C5C4=O,Inactive,0,,APF_lib_15,87.6823,77.1823,79.5852,106.279,,,
244,126496769,53470222,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCN4C(=O)C5=CC=CC=C5C4=O,Inactive,0,,APA_lib_15,90.8489,89.9981,89.248,93.3007,,,
245,126496770,44138050,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5N=C4,Inactive,0,,APV_lib_15,56.5672,58.7191,69.8329,41.1496,,,
246,126496771,53470223,C1=CC=C2C=C(C=CC2=C1)NCCCN3C(=O)C4=CC=CC=C4C3=O,Inactive,0,,AMW_lib_15,91.809,86.6087,88.8427,99.9756,,,
247,126496772,53470224,C1=CC=C2C(=C1)C(=O)N(C2=O)CCCNCC3=CC=CC=N3,Inactive,0,,AMX_lib_15,115.575,121.711,110.195,114.818,,,
248,126496773,53470225,C1=CC=C2C(=C1)C(=O)N(C2=O)CCCNC3=CC(=CC=C3)F,Inactive,0,,ANT_lib_15,119.151,137.522,107.616,112.315,,,
249,126496774,53470226,CS(=O)(=O)NCCN1CCC(CC1)N2C3=CC=CC=C3NC2=O,Inactive,0,,7LE_lib_14,96.4566,95.385,86.4625,107.522,,,
250,126496775,53470227,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNS(=O)(=O)C4=CC=CC=C4C(F)(F)F,Inactive,0,,7T4_lib_14,97.993,121.149,91.8532,80.9767,,,
251,126496776,53470228,CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCN3CCC(CC3)N4C5=CC=CC=C5NC4=O,Inactive,0,,7NH_lib_14,111.821,133.781,110.145,91.5357,,,
252,126496777,53470229,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNS(=O)(=O)C4=CC=C(C=C4)F,Inactive,0,,7MH_lib_14,75.8608,85.6374,75.2935,66.6513,,,
253,126496778,53470230,CC1=CC(=C(C(=C1)C)S(=O)(=O)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O)C,Inactive,0,,7LR_lib_14,98.7528,101.15,102.742,92.3655,,,
254,126496779,53470231,COC1=CC=C(C=C1)S(=O)(=O)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O,Inactive,0,,7NQ_lib_14,127.302,109.523,126.167,146.214,,,
255,126496780,53470232,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNS(=O)(=O)C4=CC=CC=C4[N+](=O)[O-],Inactive,0,,7LC_lib_14,108.1,109.468,103.759,111.073,,,
256,126496781,53470233,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNS(=O)(=O)C4=CC=CC5=C4N=CC=C5,Inactive,0,,7M9_lib_14,111.801,94.1966,121.117,120.091,,,
257,126496782,53470234,CCS(=O)(=O)NCCN1CCC(CC1)N2C3=CC=CC=C3NC2=O,Inactive,0,,7RR_lib_14,100.035,108.144,92.3804,99.5813,,,
258,126496783,53470235,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNS(=O)(=O)C4=CC=C(C=C4)Cl,Inactive,0,,7LJ_lib_14,115.001,106.031,114.02,124.951,,,
259,126496784,53470236,CCNC(=S)NCCN1CCC(CC1)N2C3=CC=CC=C3NC2=O,Inactive,0,,8KK_lib_14,78.223,78.0768,84.1744,72.4177,,,
260,126496785,53470237,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=S)NC4=CC=CC=N4,Inactive,0,,8JY_lib_14,72.6639,85.31,72.8419,59.8399,,,
261,126496786,53470238,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=S)NC4=CC(=C(C=C4)Cl)Cl,Inactive,0,,8K9_lib_14,93.9276,86.5657,102.287,92.9299,,,
262,126496787,53470239,CC1=CC=CC=C1NC(=S)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O,Inactive,0,,8JB_lib_14,145.444,171.422,137.698,127.213,,,
263,126496788,53470240,CC1=CC(=CC=C1)NC(=S)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O,Inactive,0,,8JM_lib_14,112.64,116.954,122.2,98.7659,,,
264,126496789,53470241,CC1=CC=C(C=C1)NC(=S)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O,Inactive,0,,8HP_lib_14,146.115,152.96,152.888,132.497,,,
265,126496790,53470242,COC1=CC=CC=C1NC(=S)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O,Inactive,0,,8AH_lib_14,126.293,133.087,130.072,115.72,,,
266,126496791,53470243,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=S)NC4=CC=CC5=CC=CC=C54,Inactive,0,,8BQ_lib_14,100.147,106.405,98.6985,95.3366,,,
267,126496792,53470244,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=S)NC4=CC=CC=C4F,Inactive,0,,8C1_lib_14,87.3591,90.585,76.0456,95.4467,,,
268,126496793,53470245,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)NCC4=CC(=CC=C4)F,Inactive,0,,7RV_lib_14,100.817,103.764,98.0608,100.627,,,
269,126496794,53470246,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)NC4=CC(=CC=C4)OC(F)(F)F,Inactive,0,,7QJ_lib_14,110.602,109.856,109.628,112.321,,,
270,126496795,53470247,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)NC(C4=CC=CC=C4)C5=CC=CC=C5,Inactive,0,,7T1_lib_14,123.482,138.112,115.423,116.912,,,
271,126496796,53470248,CCOC(=O)CNC(=O)NCCN1CCC(CC1)N2C3=CC=CC=C3NC2=O,Inactive,0,,7T6_lib_14,121.001,126.984,119.029,116.989,,,
272,126496797,53470249,CC(=O)C1=CC(=CC=C1)NC(=O)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O,Inactive,0,,7TD_lib_14,117.67,122.91,109.617,120.483,,,
273,126496798,53470250,C1CN(CCN1CCNC(=O)C2=CC3=CC=CC=C3C=C2)C4=CC=NC=C4,Inactive,0,,88C_lib_14,109.532,103.489,107.098,118.008,,,
274,126496799,53470251,CC1=CC=C(C=C1)C(=O)NCCN2CCN(CC2)C3=CC=NC=C3,Inactive,0,,89X_lib_14,113.79,116.194,111.497,113.68,,,
275,126496800,53470252,C1CN(CCN1CCNC(=O)C2=CC=C(C=C2)F)C3=CC=NC=C3,Inactive,0,,874_lib_14,101.771,102.131,101.366,101.815,,,
276,126496801,53470253,C1CN(CCN1CCNC(=O)C2=CC=C(C=C2)Cl)C3=CC=NC=C3,Inactive,0,,8AT_lib_14,116.002,120.534,118.407,109.065,,,
277,126496802,35582404,CC1=CC=C(C=C1)C(=O)NCCN2CCN(CC2)C3=CC=CC=N3,Inactive,0,,8J4_lib_14,106.868,114.332,102.934,103.337,,,
278,126496803,53470254,C1CN(CCN1CCNC(=O)C2=CC=C(C=C2)F)C3=CC=CC=N3,Inactive,0,,8JF_lib_14,100.754,94.9688,102.717,104.576,,,
279,126496804,53470255,C1CN(CCN1CCNC(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=N3,Inactive,0,,8HT_lib_14,105.51,113.709,91.2428,111.579,,,
280,126496805,53470256,C1CN(CCN1CCNC(=O)C2=CC=C(C=C2)C(F)(F)F)C3=CC=CC=N3,Inactive,0,,8J3_lib_14,117.019,91.6044,127.695,131.757,,,
281,126496806,53470257,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)NC4=CC=CC(=C4)C(F)(F)F,Inactive,0,,8JJ_lib_14,130.922,141.687,127.013,124.066,,,
282,126496807,53470258,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)NC4=CC=CC=C4C(F)(F)F,Inactive,0,,8GY_lib_14,113.788,125.14,114.713,101.511,,,
283,126496808,53470259,C[C@H](C1=CC=CC=C1)NC(=O)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O,Inactive,0,,8K5_lib_14,107.014,116.839,99.2752,104.927,,,
284,126496809,53470259,C[C@H](C1=CC=CC=C1)NC(=O)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O,Inactive,0,,8J6_lib_14,122.745,118.011,114.616,135.607,,,
285,126496811,53470261,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)NC4=CC=CC=C4F,Inactive,0,,8H9_lib_14,104.992,93.6226,98.5893,122.765,,,
286,126496812,53470262,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)NC4=CC(=CC=C4)F,Inactive,0,,8H0_lib_14,87.8602,90.4662,91.0071,82.1075,,,
287,126496813,53470263,CC1=CC(=CC=C1)NC(=O)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O,Inactive,0,,8GP_lib_14,111.241,106.404,115.146,112.174,,,
288,126496814,53470264,C1CN(CCC1N2C3=C(C=CC(=C3)F)NC2=O)CCNC(=O)C4=CC=C(C=C4)C(F)(F)F,Inactive,0,,BHC_lib_14,61.8158,50.5288,71.0497,63.8689,,,
289,126496815,44573728,C1CN(CCC1N2C3=C(C=CC(=C3)F)NC2=O)CCNC(=O)C4=CC(=C(C=C4)F)F,Active,100,,BHD_lib_14,1.65213,3.25174,-0.56905,2.27368,,,
290,126496816,44573727,C1CN(CCC1N2C3=C(C=CC(=C3)F)NC2=O)CCNC(=O)C4=CC=C(C=C4)Cl,Active,100,,BTQ_lib_14,8.07939,14.53,12.2453,-2.53713,,,
291,126496817,53470265,CC1=CC=C(C=C1)C(=O)NCCN2CCC(CC2)N3C4=C(C=C(C=C4)Br)NC3=O,Active,100,,BPX_lib_14,21.797,29.6391,20.2264,15.5255,,,
292,126496818,21428895,C1CN(CCC1N2C3=C(C=C(C=C3)Br)NC2=O)CCNC(=O)C4=CC=C(C=C4)F,Active,100,,BPW_lib_14,0,0,0,0,,,
293,126496819,44573690,C1CN(CCC1N2C3=C(C=C(C=C3)Br)NC2=O)CCNC(=O)C4=CC=C(C=C4)Cl,Active,100,,BQV_lib_14,3.22792,2.78946,4.50527,2.38904,,,
294,126496820,53470266,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC=CC5=C4N=CC=C5,Inactive,0,,8CM_lib_14,74.2244,67.2016,77.2997,78.172,,,
295,126496821,53470267,C1CCCC(CC1)C(=O)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O,Inactive,0,,8AP_lib_14,103.782,110.657,105.454,95.2349,,,
296,126496822,53470268,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)CCC4=CC=CC=C4,Inactive,0,,8AE_lib_14,80.7462,83.0175,78.1538,81.0674,,,
297,126496823,53470269,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=C5CC=C6CC=CC7=C6C5=C(C=C7)C=C4,Inactive,0,,8AQ_lib_14,79.2415,84.7763,77.8697,75.0785,,,
298,126496824,53470270,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=NC5=CC=CC=C5N=C4,Inactive,0,,8B2_lib_14,87.4289,106.794,73.4989,81.9935,,,
299,126496825,53470271,CC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)NCCN3CCN(CC3)C4=CC=NC=C4,Inactive,0,,8TX_lib_14,109.516,136.586,109.22,82.7418,,,
300,126496826,53470272,CN1C2=CC=CC=C2C=C1C(=O)NCCN3CCN(CC3)C4=CC=NC=C4,Inactive,0,,8T1_lib_14,108.606,118.954,109.118,97.7466,,,
301,126496827,53470273,C1CN(CCN1CCNC(=O)C2=C3C=CC=CC3=CC4=CC=CC=C42)C5=CC=NC=C5,Inactive,0,,8TW_lib_14,126.668,151.898,104.786,123.321,,,
302,126496828,53470274,C1CN(CCN1CCNC(=O)C2=C(C=C(C=C2)F)O)C3=CC=NC=C3,Inactive,0,,8TM_lib_14,112.42,133.178,114.318,89.7633,,,
303,126496829,53470275,C1CN(CCN1CCNC(=O)C2=CC3=CC=CC=C3S2)C4=CC=NC=C4,Inactive,0,,8UA_lib_14,90.4545,86.784,88.7637,95.816,,,
304,126496830,53470276,C1CN(CCN1CCNC(=O)C2=CC=CC=C2C3=CC=CC=C3)C4=CC=NC=C4,Inactive,0,,8VG_lib_14,83.2053,73.829,72.4514,103.336,,,
305,126496831,53470277,C1CN(CCN1CCNC(=O)C2=CC3=C(N2)C=CC(=C3)F)C4=CC=NC=C4,Inactive,0,,8UJ_lib_14,65.4959,60.8687,59.7286,75.8903,,,
306,126496832,53470278,COC1=C(C=CC(=C1)C(=O)NCCN2CCN(CC2)C3=CC=NC=C3)N,Inactive,0,,8UK_lib_14,130.222,124.434,133.901,132.33,,,
307,126496833,49817107,C1CN(CCN1CCNC(=O)C2=CC=C(C=C2)Cl)C3=NC=CC=N3,Inactive,0,,8KE_lib_14,106.253,112.564,106.794,99.3998,,,
308,126496834,53470279,C1CN(CCN1CCNC(=O)C2=CC=C(C=C2)F)C3=NC=CC=N3,Inactive,0,,8K2_lib_14,92.239,100.96,86.5005,89.2561,,,
309,126496835,53470280,CC1=CC=C(C=C1)C(=O)NCCN2CCN(CC2)C3=NC=CC=N3,Inactive,0,,8H6_lib_14,85.563,83.3477,83.8762,89.4649,,,
