PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Activity Comment
10,504802820,172445272,C1=CC=C(C=C1)CNC(=O)C2=C(C=CC(=C2)OC3=CC(=CC=C3)Br)NS(=O)(=O)C4=CC=CS4,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
11,504803313,172445616,C1COCCN1S(=O)(=O)NC2=C(C=C(C=C2)OC3=CC(=CC=C3)Br)C(=O)NCC4=CC=CC=C4,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
12,504803335,172445634,C1=CC=C(C=C1)CNC(=O)C2=C(C=CC(=C2)OC3=CC(=CC=C3)Br)NS(=O)(=O)C4=CC=CC5=C4N=CC=C5,Unspecified,,,,Ratio CC50/EC50,>,13.6,
13,504803816,172445967,CCCOC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=CC3=C2N=CC=C3)C(=O)N(CC)CC4=CC=CC=C4,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
14,504804473,172446427,CCCOC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=CC3=C2N=CC=C3)C(=O)NCCCC4=CC=CC=C4,Unspecified,,,,Ratio CC50/EC50,>,25.6,
15,504806164,172447590,COC1=CC(=C(C=C1)C(=O)NCC2=CC=CC=C2)NS(=O)(=O)C3=CC=CC4=C3N=CC=C4,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
16,504808337,172449095,C1CCC(CC1)COC2=CC(=C(C=C2)NS(=O)(=O)C3=CC=CC4=C3N=CC=C4)C(=O)NCC5=CC=CC=C5,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
17,504808437,172449166,COC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=CC3=C2N=CC=C3)C(=O)NCC4=CC=CC=C4,Unspecified,,,,Ratio CC50/EC50,>,20.8,
18,504809399,172449841,CCCOC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=CC3=C2N=CC=C3)C(=O)NCC4CCCCC4,Unspecified,,,,Ratio CC50/EC50,>,185,
19,504809486,172449907,CCCOC1=C(C=CC(=C1)C(=O)NCC2=CC=CC=C2)NS(=O)(=O)C3=CC=CC4=C3N=CC=C4,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
20,504809964,172450227,CS(=O)(=O)NC1=C(C=C(C=C1)OC2=CC(=CC=C2)Br)C(=O)NCC3=CC(=C(C=C3)F)F,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
21,504812426,172451928,C1COC2=C1C=C(C=C2)S(=O)(=O)NC3=C(C=C(C=C3)OC4=CC(=CC=C4)Br)C(=O)NCC5=CC=CC=C5,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
22,504814244,172453193,CCCOC1=CC(=C(C=C1)NC(=O)C2=CC=CC3=C2N=CC=C3)C(=O)NCC4=CC=CC=C4,Unspecified,,,,Ratio CC50/EC50,>,17,
23,504816691,172454876,C1=CC2=C(C(=C1)S(=O)(=O)NC3=C(C=C(C=C3)OC4=CC(=CC=C4)Br)C(=O)NCC5=CC(=C(C=C5)F)F)N=CC=C2,Unspecified,,,,Ratio CC50/EC50,>,17.8,
24,504818878,172456418,CCC1=CC(=CC=C1)OC2=CC(=C(C=C2)NS(=O)(=O)C)C(=O)N[C@H](C)C3=CC=CC=C3,Unspecified,,,,Ratio CC50/EC50,=,2.85,
25,504820392,172457452,C1=CC=C(C=C1)CNC(=O)C2=C(C=CC(=C2)OC3=CC(=CC=C3)Br)NS(=O)(=O)C4=CC(=C(C=C4)F)F,Unspecified,,,,Ratio CC50/EC50,=,3.56,
26,504820773,172457723,C1=CC2=C(C(=C1)S(=O)(=O)NC3=C(C=C(C=C3)OC4=CC(=CC=C4)Br)C(=O)N)N=CC=C2,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
27,504821207,172458025,CS(=O)(=O)NC1=C(C=C(C=C1)OC2=CC(=CC=C2)Br)C(=O)NCC3=CC=CC=C3,Unspecified,,,,Ratio CC50/EC50,=,1.39,
28,504822905,172459183,C1=CC=C(C=C1)CNC(=O)C2=C(C=CC(=C2)OC3=CC(=CC=C3)Br)NS(=O)(=O)C4=CN=CC=C4,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
29,504823027,168355525,CCCOC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=CC3=C2N=CC=C3)C(=O)NCC4=CC=CC=C4,Unspecified,,,,Ratio CC50/EC50,>,115,
30,504823182,172459377,CCC1=CC(=CC=C1)OC2=CC(=C(C=C2)NS(=O)(=O)C)C(=O)NCC3=CC=CC=C3,Unspecified,,,,Ratio CC50/EC50,=,1.75,
31,504825638,172461079,CCCOC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=CC3=C2N=CC=C3)C(=O)NC4CCCC5=CC=CC=C45,Unspecified,,,,Ratio CC50/EC50,>,52.6,
32,504825999,172461318,C1=CC=C(C=C1)CNC(=O)C2=C(C=CC(=C2)OC3=CC=CC=C3)NS(=O)(=O)C4=CC=CC5=C4N=CC=C5,Unspecified,,,,Ratio CC50/EC50,>,25.4,
33,504826842,172461932,CCCOC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=CC3=C2N=CC=C3)C(=O)NC4CC4,Unspecified,,,,Ratio CC50/EC50,>,11,
34,504827566,172462411,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)OC3=CC(=CC=C3)Br)NS(=O)(=O)C4=CC=CC5=C4N=CC=C5,Unspecified,,,,Ratio CC50/EC50,=,14.7,
35,504827789,172462562,CCC1=CC(=CC=C1)OC2=CC(=C(C=C2)NS(=O)(=O)C)C(=O)NCC3=CC(=C(C=C3)F)F,Unspecified,,,,Ratio CC50/EC50,=,1.21,
36,504830661,172464571,CCCOC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=CC3=C2N=CC=C3)C(=O)NCCC4=CC=CC=C4,Unspecified,,,,Ratio CC50/EC50,>,45.5,
37,504830704,172464588,CCC1=CC(=CC=C1)OC2=CC(=C(C=C2)NS(=O)(=O)C3=CC=CC4=C3N=CC=C4)C(=O)NCC5=CC=CC=C5,Unspecified,,,,Ratio CC50/EC50,>,32.8,
38,504833124,172466313,CCCOC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=CC3=C2N=CC=C3)C(=O)N4CCC5=CC=CC=C5C4,Unspecified,,,,Ratio CC50/EC50,>,16.4,
39,504839831,172470985,CCCOC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=CC3=CC=CC=C32)C(=O)NCC4=CC=CC=C4,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
