PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_uM,Max_CL95,Min_CL95,value_at_20.000000_uM,value_at_2.000000_uM,value_at_0.500000_uM,value_at_0.200000_uM,value_at_0.020000_uM,value_at_0.002000_uM,value_at_0.000200_uM,value_at_0.000020_uM,value_at_20.417379_uM,value_at_2.041738_uM,value_at_1.000000_uM,value_at_0.204174_uM,value_at_0.100000_uM,value_at_0.020417_uM,value_at_0.002042_uM,value_at_0.000204_uM,value_at_0.000002_uM
20,126496589,53469944,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,11N1,0.09,0.051,0.159,0,7.96129,,38.5922,78.3957,100,,,,,,,,,,,
21,126496594,53469954,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,11XE,0.016,0.011,0.023,,1.85408,,6.26987,45.0349,90.6762,100.021,,,,,,,,,,
22,126496561,46939672,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,11KJ,2.27,1.549,3.328,2.02342,57.4133,,87.0415,101.68,100,,,,,,,,,,,
23,126496565,46938538,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,11U3,0.335,0.222,0.507,1.98224,10.0154,,64.9929,90.5756,101.221,97.5573,,,,,,,,,,
24,126496569,53469915,C1CN(CCC1C(=O)NCCC2=CC=CC=N2)CCNC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,,11UV,20,,,70.1363,98.0889,,91.6043,98.4251,101.575,,,,,,,,,,,
25,126496562,53469906,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,,11VG,3.5,1.707,7.214,5.26666,67.1861,,129.714,94.4741,90.7734,,,,,,,,,,,
26,126496600,46939876,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,50,,11RV,5.78,2.937,11.36,28.5304,69.7422,,94.4683,96.5127,103.487,,,,,,,,,,,
27,126496598,53469962,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,100,,11V7,0.003,0.002,0.003,,,,0,5.40023,57.2415,90.6246,100,,,,,,,,,
28,126496599,53469964,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,,11VF,2.06,1.475,2.873,16.3799,48.2844,,94.331,99.3738,100,,,,,,,,,,,
29,126496597,53469960,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,11WH,0.005,0.004,0.006,,,,0,18.5696,74.2925,106.402,100,,,,,,,,,
30,126496601,53469965,CN1CN(C2(C1=O)CCN(CC2)CCNC(=O)C3=CC4=CC=CC=C4C=C3)C5=CC=CC=C5,Active,50,,11WX,2.8,1.727,4.429,16.7614,56.926,,88.7281,102.79,97.4201,102.58,,,,,,,,,,
31,126532076,53482015,C[C@@H](CN1CCC(=CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4,Active,100,,1DMA,0.05,0.039,0.067,-8e-05,5.54563,,22.6876,69.3783,95.1431,99.0848,100.915,,,,,,,,,
32,126532077,53482016,C[C@@H](CN1CCC(=CC1)N2C3=CC=CC=C3NC2=O)NC(=O)[C@H]4C[C@@H]4C5=CC=CC=C5,Active,100,,1DMN,0.48,0.262,0.87,9.7051,19.707,,67.9896,110.008,89.9921,,,,,,,,,,,
33,126532079,53482018,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4CC4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,185N,0.2,0.11,0.355,,10.3699,,47.8217,89.0828,92.0971,100,,,,,,,,,,
34,126532085,53482026,C[C@H](CN1CCC(CC1)N2C3=CC=CC=C3N=N2)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,,186A,3.8,2.001,7.295,15.5039,66.2829,,99.2015,116.433,83.5674,,,,,,,,,,,
35,126532084,53482024,C1CN(CCC1N2C3=CC=CC=C3N=N2)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,,186F,2.7,1.995,3.723,6.99647,58.7496,,95.4238,95.8601,100,,,,,,,,,,,
36,126922010,53497782,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4CC=C5C=CC=CC5=C4.C(=O)(C(F)(F)F)O,Active,100,,1FAM,0.13,0.072,0.222,,4.19114,,36.4821,88.5962,112.47,87.5298,,,,,,,,,,
37,125333494,53393891,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O,Active,50,,1K87,24,9.924,58.22,51.3568,106.975,,107.405,95.6198,90.3148,,,,,,,,,,,
38,125333500,53393903,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=C(C=C4)C(=O)OC5=O.C(=O)(C(F)(F)F)O,Active,50,,1K99,5.55,3.921,7.853,29.3764,64.8276,,93.9048,93.5104,100,,,,,,,,,,,
39,125333506,53393915,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Active,50,,1KA0,20,,,69.4941,75.0968,,93.6361,87.9067,99.7702,,,,,103.029,,,,,,
40,126496900,53470356,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCN(C(=O)C4=CC=C(C=C4)Cl)C(=O)C5=CC=C(C=C5)Cl,Active,100,,7R2,0.21,0.139,0.314,1.0138,14.8581,,48.5448,79.3025,100,,,,,,,,,,,
41,126496891,44438309,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC5=CC=CC=C5N=C4,Active,100,,890,0.008,0.006,0.011,,0,,3.52692,26.9348,61.9994,83.0743,,,,,,,,,,
42,126496874,53470336,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4CC5=CC=CC=C5C=C4,Active,100,,8H2,0.11,0.071,0.158,,5.54416,,34.2352,74.6122,85.095,100,,,,,,,,,,
43,126496894,44573598,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC5=C(C=C4)N=CC=C5,Active,100,,8HD,0.07,0.045,0.116,2.80491,7.4382,,30.172,72.1019,100,,,,,,,,,,,
44,126496888,44573597,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C#CC4=CC=CC=C4,Active,100,,8HN,0.04,0.027,0.058,,9.02542,,22.2559,62.3742,98.5258,100,,,,,,,,,,
45,126496884,53470346,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC5=CC=CC=C5C6=CC=CC=C64,Active,100,,8J9,0.016,0.011,0.023,,0.966949,,11.9895,46.0397,86.6784,100,,,,,,,,,,
46,126496896,44573641,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC5=C(C=C4)C=C(C=C5)F,Active,100,,8JA,0.12,0.065,0.208,-1.30437,10.5068,,39.452,76.8212,100,,,,,,,,,,,
47,126496899,53470355,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC(=CC(=C4)[N+](=O)[O-])[N+](=O)[O-],Active,100,,8JX,0.27,0.171,0.439,6.32563,21.7568,,59.408,90.4615,100,,,,,,,,,,,
48,126496793,53470245,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)NCC4=CC(=CC=C4)F,Active,100,,7RV,0.107,0.077,0.15,10.3436,10.131,,42.2459,82.7413,100,,,,,,,,,,,
49,126496812,53470262,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)NC4=CC(=CC=C4)F,Active,100,,8H0,0.078,0.044,0.136,6.62502,10.5443,,34.0234,81.394,100,,,,,,,,,,,
50,126496841,53470286,COC1=CC=CC(=C1)N2CCN(CC2)CCNC(=O)C3=CC4=CC=CC=C4C=C3,Active,50,,8K4,10,1.276,87.93,27.8042,101.214,,,99.9334,100.067,,,,,,,,,,,
51,126496831,53470277,C1CN(CCN1CCNC(=O)C2=CC3=C(N2)C=CC(=C3)F)C4=CC=NC=C4,Active,50,,8UJ,3.6,2.807,4.78,15.6586,64.6592,,92.656,101.755,98.2451,,,,,,,,,,,
52,126496858,53470309,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,AK8,0.035,0.025,0.051,,0.457191,,13.9297,65.7386,101.99,98.0103,,,,,,,,,,
53,126496859,53470310,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Active,100,,ALJ,0.15,0.091,0.237,0.448522,0.162892,,45.2015,84.6305,100,,,,,,,,,,,
54,126496857,53470307,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,50,,ALU,2.56,1.427,4.595,8.21074,55.1492,,107.792,96.6019,95.6062,,,,,,,,,,,
55,126496856,53470306,CC1=CC(=CC=C1)C(=O)N[C@@H](C)CN2CCC3(CC2)C(=O)NCN3C4=CC=CC=C4.C(=O)(C(F)(F)F)O,Active,50,,ALV,3.4,1.85,6.268,9.87983,59.3759,,83.9257,81.0404,100,,,,,,,,,,,
56,126496763,44573642,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCNC(=O)C4C[C@H]4C5=CC=CC=C5,Active,100,,APR,0.001,0.001,0.002,,,,,,,,,,1.09798,,1.84272,,19.8187,59.0254,131.853,
57,126496764,65490,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCNC(=O)C4=CC=C(C=C4)F,Active,100,,APU,0.008,0.003,0.012,,,,,,,,,,-5.01698,,0.212915,,19.9983,91.3657,104.047,
58,126496766,21429000,CC1=CC=C(C=C1)C(=O)NCCN2CCC(CC2)N3C4=C(C=C(C=C4)Cl)NC3=O,Active,100,,AQ5,0.009,0.004,0.021,,,,,,,,,,0.445265,,1.74394,,49.3757,107.798,137.22,
59,126496770,44138050,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5N=C4,Active,50,,APV,1.9,1.134,3.268,17.3801,45.8805,74.2706,81.3891,89.1093,97.7645,100,,,,,,77.1968,,,,
60,126496815,44573728,C1CN(CCC1N2C3=C(C=CC(=C3)F)NC2=O)CCNC(=O)C4=CC(=C(C=C4)F)F,Active,100,,BHD,0.004,0.003,0.006,,,,2.48841,19.2358,68.5321,101.867,98.1329,,,,,,,,,
61,126496818,21428895,C1CN(CCC1N2C3=C(C=C(C=C3)Br)NC2=O)CCNC(=O)C4=CC=C(C=C4)F,Active,100,,BPW,0.004,0.003,0.005,,,,3.80775,17.4688,67.7395,100.324,100,,,,,,,,,
62,126496819,44573690,C1CN(CCC1N2C3=C(C=C(C=C3)Br)NC2=O)CCNC(=O)C4=CC=C(C=C4)Cl,Active,100,,BQV,0.003,0.002,0.007,,,,9.34379,20.8037,63.775,90.1303,100,,,,,,,,,
63,126496816,44573727,C1CN(CCC1N2C3=C(C=CC(=C3)F)NC2=O)CCNC(=O)C4=CC=C(C=C4)Cl,Active,100,,BTQ,0.007,0.005,0.01,,,,6.9562,25.6697,84.9818,101.182,98.8176,,,,,,,,,
64,126496846,44573687,C1CN(CCC1N2C3=C(C=C(C=C3)F)NC2=O)CCNC(=O)C4=CC5=CC=CC=C5C=C4,Active,100,,9WJ,0.004,0.002,0.007,,,,2.819,17.9848,64.8279,87.2363,100,,,,,,,,,
65,126496844,44573688,C1CN(CCC1N2C3=C(C=C(C=C3)F)NC2=O)CCNC(=O)C4=CC=C(C=C4)Cl,Active,100,,9XG,0.018,0.006,0.047,,,,10.7599,39.8313,112.301,92.0174,95.6819,,,,,,,,,
66,126496845,44573689,C1CN(CCC1N2C3=C(C=C(C=C3)F)NC2=O)CCNC(=O)C4=CC=C(C=C4)F,Active,100,,9XT,0.012,0.009,0.015,,,,5.89079,35.6882,91.2379,102.436,97.5636,,,,,,,,,
67,126496843,53470288,C1CN(CCC1N2C3=C(C=CC(=C3)F)NC2=O)CCNC(=O)C4=CC=CC5=C4C(=O)C6=CC=CC=C56,Active,100,,BKG,0.007,0.005,0.009,,,,1.49976,24.5394,78.3883,102.442,97.5578,,,,,,,,,
68,126496710,53470148,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=CC=CC=C5N4,Active,100,,CGP,0.001,0.001,0.002,,,,,2.73574,32.553,94.5702,100.307,,,,,,,,,99.6927
69,126496718,53470155,C1CN(CCC1N2C3=CC=CC=C3NC2=O)C[C@H](CC4=CC=CC=C4)NC(=O)C5=CC6=CC=CC=C6N=C5,Active,50,,CT4,2.8,1.599,4.994,24.7234,52.4806,,86.9966,104.407,95.5931,,,,,,,,,,,
70,126496707,53470145,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=C(C=C4)N=CC=C5,Active,100,,CH1,0.017,0.01,0.03,0.19282,3.24584,,17.6233,49.9986,73.0925,97.3954,102.605,,,,,,,,,
71,126496708,53470146,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=CC=CC=C5S4,Active,100,,CHB,0.002,0.001,0.003,0.0834,2.81662,,7.25204,23.483,44.1769,101.136,98.8645,,,,,,,,,
72,126496709,53470147,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)CCC4=CC=C(C=C4)F,Active,100,,CHD,0.26,0.16,0.432,11.9247,18.6675,,53.2839,93.9288,100,,,,,,,,,,,
73,126496719,53470156,C1CC(N(C1)C(=O)C2=CC3=CC=CC=C3N=C2)CN4CCC(CC4)N5C6=CC=CC=C6NC5=O,Active,50,,CUU,2.8,2.033,3.986,13.4631,56.7229,,98.7584,93.9892,100,,,,,,,,,,,
74,126496712,53470150,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=C(N4)C=CC(=C5)F,Active,100,,CJ0,0.001,0.001,0.001,,0,,3.03052,12.8686,30.7577,78.787,,,,,,,,,,
75,126496717,53470154,C1CN(CCC12C3=CC=CC=C3OC2=O)CCNC(=O)C4=CC5=CC=CC=C5N=C4,Inactive,0,,CW0,20,,,126.008,108.201,,98.6541,98.2694,100,,,,,,,,,,,
76,126496716,53470153,C1CN(CCC12CCN(C2=O)C3=CC=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5N=C4,Inactive,0,,CW3,20,,,61.6406,84.8554,,100,100,100,,,,,,,,,,,
77,126496738,53470188,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,EUV,0.004,0.003,0.006,,,,7.48433,17.8793,67.8433,101.705,98.2951,,,,,,,,,
78,126496739,53470188,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,EW5,0.005,0.002,0.011,,,,20.8425,22.9096,68.8769,102.399,97.6014,,,,,,,,,
79,126496743,53470194,CC1=CC=C(C=C1)C(=O)N[C@@H](C)CN2CCC(CC2)N3C4=C(C=C(C=C4)Br)NC3=O.C(=O)(C(F)(F)F)O,Active,100,,EX2,0.007,0.003,0.016,,,,16.8528,31.603,74.4339,95.1923,100,,,,,,,,,
80,126496740,53470189,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,EXC,0.004,0.003,0.006,,,,6.89154,18.6254,67.7517,99.8025,100,,,,,,,,,
81,126496732,53470181,C[C@@H](CN1CCC(CC1)N2C3=C(C(=CC=C3)F)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,EUW,0.043,0.029,0.062,,,,21.1287,64.3826,93.4636,97.4715,100,,,,,,,,,
82,126496735,53470184,C[C@@H](CN1CCC(CC1)N2C3=C(C(=CC=C3)F)NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,EV6,0.066,0.036,0.119,,,,31.24,68.2802,95.2998,95.6104,104.39,,,,,,,,,
83,126496734,53470183,C[C@@H](CN1CCC(CC1)N2C3=C(C(=CC=C3)F)NC2=O)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Active,100,,EWQ,0.038,0.023,0.06,,,,27.3795,57.7305,101.984,101.76,96.2553,,,,,,,,,
84,126496733,53470182,C[C@@H](CN1CCC(CC1)N2C3=C(C(=CC=C3)F)NC2=O)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,EXD,0.13,0.072,0.237,,,,40.2375,95.9625,118.276,102.373,97.6275,,,,,,,,,
85,126496742,53470192,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,EUX,0.006,0.004,0.008,,,,8.76936,23.3252,70.2349,95.5041,100,,,,,,,,,
86,126496741,53470191,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Active,100,,EV7,0.004,0.002,0.005,,,,10.559,16.6518,61.9607,93.349,100,,,,,,,,,
87,126496736,53470185,C[C@@H](CN1CCC(CC1)N2C3=C(C(=CC=C3)F)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,EVG,0.1,0.045,0.223,,,,31.1034,61.4682,69.5284,72.6037,100,,,,,,,,,
88,112378960,53470193,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,EVJ,0.004,0.002,0.006,,,,12.5211,18.6396,60.442,89.6472,100,,,,,,,,,
