PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Activity Comment
12,440138022,155528991,CC1(CC(CC(N1)(C)C)NC2=NC=CC(=N2)NC3=CC=C(C=C3)C4=CC=C(C=C4)Cl)C,Unspecified,,,,Ratio CC50/EC50,=,54,
13,440138750,155529441,CN1CCN(CC1)C2=NC=CC(=N2)NC3=CC=C(C=C3)C4=CC=C(C=C4)Cl,Unspecified,,,,Ratio CC50/EC50,=,5,
14,440143734,84503267,CC1=CC=C(C=C1)NC2=NC(=NC=C2)NCCN3CCOCC3,Unspecified,,,,Ratio CC50/EC50,>,2,
15,440145344,155533823,CC1=CC=C(C=C1)C2=CC=C(C=C2)NC3=NC(=NC=C3)N4CCN(CC4)C,Unspecified,,,,Ratio CC50/EC50,=,6,
16,440150289,155537019,C1CN(CCN1CCO)C2=NC=CC(=N2)NC3=CC=C(C=C3)C4=CC=CC=C4,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
17,440152153,155538264,C1=CC=C(C=C1)C2=CC=C(C=C2)NC3=NC(=NC=C3)NCC4=C[N+](=CC=C4)[O-],Unspecified,,,,Ratio CC50/EC50,=,3,
18,440160797,155542066,C1CCN(CC1)CCNC2=NC=CC(=N2)NC3=CC=C(C=C3)C4=CC=CC=C4,Unspecified,,,,Ratio CC50/EC50,=,23,
19,440172485,155546715,C1=CC(=CN=C1)CNC2=NC=CC(=N2)NC3=CC=C(C=C3)C4=CC=C(C=C4)Cl,Unspecified,,,,Ratio CC50/EC50,=,6,
20,440173471,155547127,CC1=CC=C(C=C1)CNC2=NC(=NC=C2)NC3CC(NC(C3)(C)C)(C)C,Unspecified,,,,Ratio CC50/EC50,=,3,
21,440176096,155548179,CC1=CC=C(C=C1)C2=CC=C(C=C2)NC3=NC(=NC=C3)NC4CC(NC(C4)(C)C)(C)C,Unspecified,,,,Ratio CC50/EC50,=,8,
22,440177207,155548606,CC1(CC(CC(N1)(C)C)NC2=NC=CC(=N2)NC3=CC=C(C=C3)Cl)C,Unspecified,,,,Ratio CC50/EC50,=,10,
23,440179139,112891879,C1=CC(=CN=C1)CNC2=NC=CC(=N2)NCC3=CC=C(C=C3)Cl,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
24,440181938,155550526,C1CN(CCN1CCO)C2=NC=CC(=N2)NC3=CC=C(C=C3)Cl,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
25,440195525,155555873,C1=CC=C(C=C1)C2=CC=C(C=C2)NC3=NC(=NC=C3)NCC4=CN=CC=C4,Unspecified,,,,Ratio CC50/EC50,=,5,
26,440203315,155559012,C1COCCN1CCNC2=NC=CC(=N2)NC3=CC=C(C=C3)C4=CC=CC=C4,Unspecified,,,,Ratio CC50/EC50,=,7,
27,440208921,155561216,CC1(CC(CC(N1)(C)C)NC2=NC=CC(=N2)NCC3=CC=C(C=C3)OC)C,Unspecified,,,,Ratio CC50/EC50,=,2,
28,440224949,84502480,C1=CC(=CN=C1)CNC2=NC=CC(=N2)NC3=CC=C(C=C3)Cl,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
29,440225429,155567735,CC1(CC(CC(N1)(C)C)NC2=NC=CC(=N2)NC3=CC=C(C=C3)C4=CC=CC=C4)C,Unspecified,,,,Ratio CC50/EC50,=,22,
30,440226813,155568285,C1COCCN1CCNC2=NC=CC(=N2)N/N=C/C3=C(C=C(C=C3)Cl)Cl,Unspecified,,,,Ratio CC50/EC50,=,8,
