PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AbsAC30_Qualifier,AbsAC30_uM,pAbsAC30_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AbsAC30_Qualifier_TEST1,AbsAC30_uM_TEST1,pAbsAC30_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.16uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_1.2uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_10uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AbsAC30_Qualifier_TEST2,AbsAC30_uM_TEST2,pAbsAC30_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.12uM_(%)_TEST2,Activity_at_0.135uM_(%)_TEST2,Activity_at_0.15uM_(%)_TEST2,Activity_at_0.16uM_(%)_TEST2,Activity_at_0.18uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.35uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_0.68uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.2uM_(%)_TEST2,Activity_at_1.35uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_2.6uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_5uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_10uM_(%)_TEST2,Activity_at_11uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,Activity_at_21uM_(%)_TEST2,Activity_at_23.5uM_(%)_TEST2
645,49735848,22518829,CC1(C2=C(C=CC(=C2)S(=O)(=O)NCC3=CC=C(C=C3)N(C)C)N(C1=O)C)C,Inactive,0,,,,,,1,0,,,,,,-4.93307,-4.93307,12,24.829,5,19.5,-13.202,,-6.176,-4.654,24.716,24.829,-11.839,-18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,121284093,51359625,CCCC(=O)OC[C@H]1CN(S(=O)(=O)C2=C(O1)C=CC=C2F)C3CCCC3,Inactive,0,,,,,,1,0,,,,,,12.511,12.511,12,35.433,0.16,19.5,35.433,5.186,21.332,6.73,11.886,-1.581,-1.842,6.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,49643862,777081,CCC(=O)NC1=CC=C(C=C1)NC(=O)C2=C(C3=CC=CC=C3O2)C,Inactive,0,,,,,,1,0,,,,,,-2.50311,-2.50311,13,18.69,0.16,19.5,18.69,7.933,-3.751,2.113,-5.761,-12.79,-13.717,-18.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,49825219,8016642,CC1=C(C(=O)OC2=C3CCC(OC3=CC(=C12)OCC(=O)N4CCC(CC4)O)(C)C)C,Inactive,0,,,,,,1,0,,,,,,6.49334,6.49334,11,21.538,2.6,19.5,0.66,-5.038,7.054,7.451,21.538,-6.435,16.423,11.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,89854858,244087,COC1=C(C2=C(C=C1)C(=O)C=C(O2)C3=CC=NC=C3)OC,Inactive,0,,,,,,1,0,,,,,,9.68753,9.68753,14,24.347,5,19.5,12.176,5.027,11.708,6.207,17.485,24.347,9.477,-1.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,26667094,669592,C1CN(CCC1CC2=CC=CC=C2)C(=O)C3=CC4=C(C=C3)OCO4,Inactive,0,,,,,,1,0,,,,,,-3.92014,-3.92014,11,31.366,0.16,19.5,31.366,-8.764,-2.586,,0.309,-26.597,-9.297,-8.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,56319460,24980757,COC1=C(C=CC(=C1)C(=O)NCC2=CC(=CC=C2)Cl)OCC(=O)N3CCOCC3,Inactive,0,,,,,,1,0,,,,,,-10.0853,-10.0853,13,-20.545,19.5,19.5,-7.541,-2.713,-12.732,-10.442,-2.957,,-14.992,-20.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,49665762,16413575,COC1=CC=CC=C1N2CCN(CC2)CC3=CN=C4N3C=C(C=C4)Cl,Inactive,0,,,,,,1,0,,,,,,8.46555,8.46555,12,22.735,0.16,19.5,22.735,10.446,,6.861,6.041,14.607,-0.094,0.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,57259863,8140709,C1CCC2(CC1)C(=O)N(C(=O)N2)NC(=O)C3=CC(=CC(=C3)F)F,Inactive,0,,,,,,1,0,,,,,,10.4551,10.4551,13,27.214,0.16,19.5,27.214,5.185,9.683,,16.544,2.654,13.841,-5.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,24804553,1088837,C1CN(CCN1C2=CC=C(C=C2)NC(=O)COC3=CC=CC=C3)C(=O)C4=CC=CS4,Inactive,0,,,,,,1,0,,,,,,0.541054,0.541054,12,-15.936,1.2,19.5,13.386,-2.942,0.343,-15.936,,-8.835,5.811,6.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
