PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AbsAC30_Qualifier,AbsAC30_uM,pAbsAC30_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AbsAC30_Qualifier_TEST1,AbsAC30_uM_TEST1,pAbsAC30_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.16uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_1.2uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_10uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AbsAC30_Qualifier_TEST2,AbsAC30_uM_TEST2,pAbsAC30_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.12uM_(%)_TEST2,Activity_at_0.135uM_(%)_TEST2,Activity_at_0.15uM_(%)_TEST2,Activity_at_0.16uM_(%)_TEST2,Activity_at_0.18uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.35uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_0.68uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.2uM_(%)_TEST2,Activity_at_1.35uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_2.6uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_5uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_10uM_(%)_TEST2,Activity_at_11uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,Activity_at_21uM_(%)_TEST2,Activity_at_23.5uM_(%)_TEST2
381,49824761,4836203,CC1=CC(=O)OC2=C1C=CC(=C2C)OC(C)C(=O)NC(CC3=CNC4=C3C=C(C=C4)O)C(=O)O,Inactive,0,,,,,,1,0,,,,,,-0.686427,-0.686427,14,13.531,0.16,19.5,13.531,-0.139,-2.055,-1.618,-1.551,-7.941,-1.541,-4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,103159746,49792837,COC1=CC=C(C=C1)C(C2=CSC(=N2)NC3=CC(=NC=N3)OC4=CC=CC=C4)N,Active,48,,,=,17.43,4.759,2,48,,=,17.43,4.759,0.952,0,100,12,27.483,10,19.5,-4.326,-9.859,9.822,0.443,5.554,8.638,27.483,25.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,49818559,24817494,C1CC(CN(C1)C(=O)CCN2C=NC=N2)N3CCN(CC3)C4=CC=C(C=C4)F,Inactive,0,,,,,,1,0,,,,,,3.94376,3.94376,12,21.094,0.6,19.5,-1.001,13.08,21.094,,12.447,-7.046,-7.896,-11.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,93577466,275498,CC1(CCC(=O)O1)C2=CC3=CC=CC=C3C=C2,Inactive,0,,,,,,1,0,,,,,,11.5942,11.5942,12,20.681,10,19.5,3.903,15.107,-0.421,16.257,,16.109,20.681,13.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,22417014,2893281,CC(C1=CC(=C(C=C1)OC)OC)NC(=O)C2=CC=CC=C2Cl,Inactive,0,,,,,,1,0,,,,,,9.19206,9.19206,13,30.679,5,19.5,-4.753,1.457,23.394,13.368,2.455,30.679,17.232,-4.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,49668983,20859232,CCN1C=C(C(=O)C2=C1C=CC(=C2)S(=O)(=O)N(C)C)C(=O)NC(C)CCC3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,7.03675,7.03675,11,26.186,2.6,19.5,10.366,,-9.549,25.442,26.186,-2.589,6.032,3.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,85148694,44143973,CCCNC(=O)C(CC1=CC=C(C=C1)I)NC(=O)C2=CC=C(C=C2)C#N,Inactive,0,,,,,,1,0,,,,,,-1.50463,-1.50463,11,-14.217,19.5,19.5,-0.458,,-9.139,0.52,7.44,0.499,-0.879,-14.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,99454748,46942933,COC1=CC=C(C=C1)C2=CSC(=N2)C(C3=CC(=CC=C3)OC)O,Inactive,0,,,,,,1,0,,,,,,3.73178,3.73178,12,50.055,1.2,19.5,-19.402,6.043,-14.684,50.055,-0.112,48.805,,1.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,49825412,24818926,CCN(CC)C1CCN(C1)CC2=C(N=C3N2C=C(C=C3)Cl)C(=O)N4CCCCCCC4,Inactive,0,,,,,,1,0,,,,,,4.53243,4.53243,13,17.389,2.6,19.5,3.257,-1.631,10.155,16.818,17.389,-3.472,6.117,-11.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,51087890,5101726,C1=CC=C(C=C1)C2=CC(NC(=O)N2)C3=CC=CC=C3O,Inactive,0,,,,,,1,0,,,,,,10.9027,10.9027,11,36.93,1.2,19.5,35.039,6.595,19.132,36.93,6.05,4.859,-5.076,-4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,49671439,2803358,C1=CC=C(C=C1)CC(C2=CC=CC=C2)(C3=CC=CC=C3N)O,Inactive,0,,,,,,1,0,,,,,,18.6746,18.6746,13,29.852,0.16,19.5,29.852,,26.902,27.282,17.61,4.586,5.334,23.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,26732147,16746328,CC1CCCN(C1)C(=O)CC(C2=CC(=C(C(=C2)OC)OC)OC)C3=C(C=C(C=C3OC)OC)O,Inactive,0,,,,,,1,0,,,,,,1.14945,1.14945,13,17.878,1.2,19.5,-11.07,-1.047,3.336,17.878,-8.159,10.562,-15.541,6.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,49721239,24791695,CC1=CN=C(N1)CNC(=O)C2CCC(=O)N(C2)CC3=CC=C(C=C3)Cl,Inactive,0,,,,,,1,0,,,,,,-4.3199,-4.3199,13,-12.729,0.3,19.5,-7.196,-12.729,-9.781,3.677,-6.76,-1.012,7.524,-5.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,103076631,18562452,C1CN(C(OC1)CNC(=O)C(=O)NCC2=CC3=C(C=C2)OCO3)S(=O)(=O)C4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,-5.27074,-5.27074,10,-19.551,0.6,19.5,-17.248,-0.587,-19.551,,2.91,10.792,2.082,-15.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,49826153,24819182,CCOC(=O)C1(CCCN(C1)C(=O)CCC2=C(ON=C2C)C)CC3=CC=CC=C3C,Inactive,0,,,,,,1,0,,,,,,-4.02933,-4.02933,11,12.53,19.5,19.5,-3.499,-8.921,-6.638,-7.844,-11.357,-3.587,3.436,12.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,103060378,4826018,CN(CC1=CC(=C(C=C1)Cl)Cl)C(=O)C2CC(=O)N(C2)C3=CC4=C(C=C3)OCCO4,Inactive,0,,,,,,1,0,,,,,,11.3392,11.3392,12,26.215,2.6,19.5,3.608,-4.123,17.509,-1.358,26.215,20.752,-8.295,22.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,57267941,16325769,C1CCC(C1)N(C2CCS(=O)(=O)C2)C(=O)CN3CCN(CC3)C4=CC=CC(=C4)C(F)(F)F,Inactive,0,,,,,,1,0,,,,,,-1.31955,-1.31955,13,-19.161,19.5,19.5,11.204,7.549,7.294,-4.364,-3.416,-5.345,-15.808,-19.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,103051219,45219422,C1CCOC(C1)CCNC(=O)CCC2=NN=C(O2)CC3=CNC4=CC=CC=C43,Inactive,0,,,,,,1,0,,,,,,9.83466,9.83466,12,18.278,0.3,19.5,,18.278,11.084,-3.085,0.379,12.161,10.663,17.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,22412869,600225,C1CC(NC(=O)C1)C2=CC=CC=C2,Inactive,0,,,,,,1,0,,,,,,3.59943,3.59943,11,15.228,0.16,19.5,15.228,5.544,2.514,,,2.298,3.86,-8.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,134215850,136141300,CC1=C(C(NC(=NCC2=CC=C(C=C2)OC)N1C)C3=CC=C(C=C3)F)C(=O)OC,Inactive,0,,,,,,1,0,,,,,,9.88763,9.88763,13,18.659,0.16,19.5,18.659,8.644,,9.852,-5.635,10.316,10.709,16.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,7967230,3447876,C1C(CN(C1=O)CC(=O)NC2=CC=CC=C2)C3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,16.2506,16.2506,14,26.883,19.5,19.5,19.52,17.954,11.318,6.331,12.914,22.186,11.284,26.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,85273650,16328409,CC(C(=O)NC1=CC=CC=C1OC)NC2(CCS(=O)(=O)C2)C.C(=O)(C(=O)O)O,Inactive,0,,,,,,1,0,,,,,,1.72369,1.72369,9,19.083,0.16,19.5,19.083,8.173,4.346,2.086,-5.383,-1.676,-12.312,-6.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,49824688,3576888,C1CS(=O)(=O)CC1NC(=O)COC2=CC3=C(C=C2)C(=CC(=O)O3)C4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,9.25088,9.25088,10,20.541,0.3,19.5,13.758,20.541,10.613,-0.202,-1.152,,,9.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,22408519,4291089,CC1CCCC(C1C)NC(=O)COC(=O)C2=CC=CC=C2SC3=CC=CC=C3C#N,Active,49,,,=,12.67,4.897,2,49,,=,12.67,4.897,0.803,0,100,14,40.197,19.5,19.5,9.661,-0.016,11.087,10.658,2.778,19.069,20.152,40.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,93576901,261618,CN1C2CCC1CC(C2)OC(=O)C3=CC(=CC=C3)O,Inactive,0,,,,,,1,0,,>,19.5,4.71,4,0,100,13,12.097,19.5,19.5,-5.653,-4.837,-11.233,1.482,-4.191,-2.019,-6.092,12.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,121283772,51359339,CC1=C(CC(C(=O)N1CCCOC)CC(=O)NC2CCCCC2)C(=O)N(C(C)C)C(C)C,Inactive,0,,,,,,1,0,,,,,,3.49055,3.49055,13,29.247,0.3,19.5,3.168,29.247,13.141,-4.452,2.129,-14.107,-3.06,-11.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,24809788,16192983,CC1=CC2=C(C=C1)N(C3=C2CCCC3)CC(CNC4CCCC4)O.C(=O)(C(=O)O)O,Inactive,0,,,,,,1,0,,,,,,15.1658,15.1658,15,30.491,0.6,19.5,5.313,22.164,30.491,20.32,25.789,11.586,6.504,1.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,49822161,6464057,COC1=CC=CC(=C1)NC(=O)CCN2C(=O)C3CC=CCC3C2=O,Inactive,0,,,,,,1,0,,>,19.5,4.71,4,0,100,13,11.378,19.5,19.5,9.666,-4.435,2.248,-6.482,-5.007,-0.882,0.379,11.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,87342053,42628005,CCN1C=C(C(NS1(=O)=O)C2=CC(=CC=C2)OC)C(=O)OCC,Inactive,0,,,,,,1,0,,,,,,2.92653,2.92653,13,7.86,0.6,19.5,1.618,6.908,7.86,-5.677,5.322,-0.797,-0.617,4.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,49646576,24747590,CC(C)CC1=CC=C(C=C1)C(C)C(=NCCC2=CC=CC=C2)N.Cl,Inactive,0,,,,,,1,0,,,,,,6.38908,6.38908,13,21.7,19.5,19.5,-11.593,-9.476,11.519,,10.364,7.393,5.826,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,49820136,4833715,CC1=CC2=C(C(=C(C(=O)O2)C)C)C(=C1)OCC(=O)NC(CC3=CNC4=C3C=C(C=C4)O)C(=O)O,Inactive,0,,,,,,1,0,,,,,,3.16733,3.16733,10,9.357,19.5,19.5,1.545,8.517,,-3.839,-6.988,4.523,,9.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,49816779,2982024,COC1=CC=C(C=C1)C(=O)N2CCNC(=O)C2CC(=O)NC3=C(C(=CC=C3)Cl)Cl,Inactive,0,,,,,,1,0,,,,,,8.68639,8.68639,13,26.358,2.6,19.5,-4.719,5.824,5.42,14.438,26.358,12.32,12.545,7.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,103076471,49791192,CCCNC(=O)C1(CCCN(C1)CC2=CC=C(C=C2)C#N)C,Inactive,0,,,,,,1,0,,,,,,-9.01077,-9.01077,13,-18.62,5,19.5,6.293,-6.896,-8.423,-5.374,-9.689,-18.62,-8.875,-17.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,57260682,16300038,CC1CC2=CC=CC=C2N1S(=O)(=O)C3=CC=CC(=C3)C(=O)N(C)CC(=O)NC4=CC(=CC=C4)OC,Inactive,0,,,,,,1,0,,,,,,16.6797,16.6797,11,29.84,1.2,19.5,22.449,-3.769,,29.84,6.044,16.134,12.449,20.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,125305677,53383009,CC1(CSCC(=O)N1CCC2=CC(=C(C=C2)OC)OC)C(=O)NC3=CC4=C(C=C3)OCCO4,Inactive,0,,,,,,1,0,,,,,,2.68107,2.68107,14,13.593,0.16,19.5,13.593,,4.609,0.759,-4.257,-3.531,0.114,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,49826178,24819207,CCCN1CCC(CC1)NC(=O)CC2C(=O)NCCN2CC3=CC(=CC=C3)OC,Inactive,0,,,,,,1,0,,,,,,9.71911,9.71911,10,15.66,2.6,19.5,14.601,,6.645,0.257,15.66,8.349,15.321,7.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,125305856,136019535,CCC(C(=O)NC1=C(C=CC=C1C)C)N2C3=CC=CC=C3N=C2C4=CNC(=O)C=C4,Inactive,0,,,,,,1,0,,,,,,-0.997749,-0.997749,12,-11.121,2.6,19.5,6.813,-0.138,-10.046,-8.233,-11.121,-3.81,4.706,6.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,49731580,24792864,CC1CCCN(C1)C(=O)CCNS(=O)(=O)C2=CC3=C(C=C2)N(C(C3)C)C(=O)C,Inactive,0,,,,,,1,0,,,,,,-5.67989,-5.67989,13,-32.219,10,19.5,5.13,8.757,6.323,-3.426,-8.832,-10.159,-32.219,-15.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,103163560,49795815,CC1(CCN1C(=O)C(C)(C)C2=CC=CC=C2)C(=O)NS(=O)(=O)C3=CC(=CC=C3)Cl,Inactive,0,,,,,,1,0,,,,,,-2.40754,-2.40754,12,-9.264,19.5,19.5,4.76,,-8.832,-6.158,-1.558,-5.831,4.942,-9.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,103073828,38680023,CCCN(CC(=O)NC1=CC=CC=C1C)C(=O)C2CCN(CC2)S(=O)(=O)C3=CC(=C(C=C3)C)C,Inactive,0,,,,,,1,0,,,,,,8.31475,8.31475,12,32.808,0.3,19.5,,32.808,10.599,6.976,5.765,-0.778,4.237,6.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,124755358,53301194,CC1=CC(=NC2=NC(=C(N12)NC3CCCC3)C4=CN=CC=C4)C,Inactive,0,,,,,,1,0,,,,,,9.32836,9.32836,13,31.34,2.6,19.5,-8.565,20.298,6.293,20.691,31.34,18.758,-6.629,7.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,22410598,15945366,CCN(CC)S(=O)(=O)C1=CC(=C(C=C1)C)NC(=O)COC2=C(C=C(C=C2)Br)Cl,Inactive,0,,,,,,1,0,,,,,,-3.39246,-3.39246,13,-21.394,5,19.5,9.829,-9.044,6.588,,-11.571,-21.394,-5.896,14.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,46501108,23641018,C1CC1CNC(=O)C2=C(ON=C2CSC3=CC(=C(C=C3)F)F)C(=O)NCC4CC4,Inactive,0,,,,,,1,0,,>,19.5,4.71,0.665,0,100,13,32.842,10,19.5,-3.571,-2.911,-6.398,9.194,3.062,15.893,32.842,10.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,124755337,3510828,CC1=C(C(=CC=C1)C)NC2=C(N=C3N2C(=CC(=N3)C)C)CCC4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,3.88162,3.88162,12,-11.01,0.3,19.5,2.622,-11.01,4.366,4.923,,8.749,5.52,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,93577632,45479995,CC(C)[C@H]1COC2=C(C=CC(=C2)Br)S(=O)(=O)N1C(=O)C3=CC=CC=C3OC,Inactive,0,,,,,,1,0,,,,,,-10.3738,-10.3738,13,-37.214,10,19.5,2.069,-1.455,13.461,1.021,1.189,-24.899,-37.214,-34.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,85199905,2500874,C1C(=O)NC2=CC=CC=C2N1C(=O)COC(=O)C3=C(C=CC=C3Cl)F,Inactive,0,,,,,,1,0,,,,,,-1.49606,-1.49606,12,21.832,10,19.5,3.661,-5.816,-7.733,-6.477,-8.066,8.045,21.832,-6.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,92763307,135400998,C1=CC=C(C=C1)NC2=[N+](C3=C(C=C(C=C3)Cl)[N+](=C2C#N)[O-])[O-],Inactive,0,,,,,,1,0,,,,,,10.0559,10.0559,14,-32.808,19.5,19.5,20.343,4.915,10.472,-1.82,6.022,19.102,26.853,-32.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,49724613,2996087,CCC1=CC=C(C=C1)NC(=O)COC2=CC3=C(C=C2)OCO3,Inactive,0,,,,,,1,0,,,,,,18.4257,18.4257,10,35.018,19.5,19.5,15.042,11.928,20.991,14.27,,-0.731,20.395,35.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,85270720,4824183,CN(C)S(=O)(=O)C1=CC=CC(=C1)C(=O)NC2=CC=CC=C2C(=O)NC3CC3,Inactive,0,,,,,,1,0,,,,,,23.2239,23.2239,11,34.806,0.3,19.5,25.572,34.806,17.866,19.729,32.475,6.901,22.285,20.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,124755194,53301039,CC(C)CCNC(=O)C[C@@H]1C[C@]2(CCCCC=C2N(C1=O)CC3=CC=CC4=CC=CC=C43)C(=O)OC,Inactive,0,,,,,,1,0,,,,,,-5.92806,-5.92806,11,-17.647,0.16,19.5,-17.647,-10.797,5.882,11.389,-16.228,2.414,-7.416,-12.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,57268139,25163489,CC1=CC(=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)COC(=O)CC3=CC=C(C=C3)Cl)C,Inactive,0,,,,,,1,0,,,,,,5.09685,5.09685,11,24.555,0.16,19.5,24.555,3.131,5.161,4.785,11.085,2.768,2.052,-8.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,134215078,53385231,C1=CC=C(C=C1)CN2C=C(C3=CC=CC=C32)CC(=O)NC4=CC=C(C=C4)OC5=CN=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,,,,,1,0,,,,,,6.57931,6.57931,13,17.571,5,19.5,0.59,1.841,-0.902,14.062,16.458,17.571,-1.459,-6.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,49718209,7970,CC1=CN=CC=C1,Inactive,0,,,,,,1,0,,,,,,12.4668,12.4668,16,25.114,0.6,19.5,7.196,18.281,25.114,13.998,23.346,8.78,4.605,-1.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,7965131,1262254,CC1=C(C(=CC=C1)C)N2CCN(CC2)S(=O)(=O)C3=C(C=CC(=C3)OC)OC,Inactive,0,,,,,,1,0,,,,,,-2.30028,-2.30028,12,-28.246,19.5,19.5,16.459,11.386,-2.587,-4.206,-11.75,-6.23,-12.023,-28.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,51089387,7423404,C1OC2=C(O1)C=C(C=C2)C(=O)NCCS(=O)(=O)NCC3=CC=C(C=C3)F,Inactive,0,,,,,,1,0,,,,,,6.18924,6.18924,13,30.993,0.16,19.5,30.993,15.03,3.31,-0.744,-4.56,,-8.171,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,87341710,42627890,C1CC2=CC=CC=C2[C@H]([C@H]1OCC3=CC=CC=C3)NC(=O)C4=CC=C(C=C4)C(F)(F)F,Inactive,0,,,,,,1,0,,,,,,-4.90027,-4.90027,12,-17.681,5,19.5,-4.256,-12.722,1.528,6.14,-0.251,-17.681,-11.141,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,24813263,4246427,C1CN(CN(C1)C(=O)NC2=CC=C(C=C2)Cl)CC3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,10.7154,10.7154,12,21.177,19.5,19.5,6.654,8.085,11.643,,4.263,10.256,10.167,21.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,85147341,44143126,COC1=CC(=CC(=C1OC)OC)CCCN2CCNC[C@@H]2C3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,7.97755,7.97755,13,17.23,0.16,19.5,17.23,8.795,3.257,-1.142,9.772,-1.133,3.437,12.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,124754661,50944090,CC(C)(C)OC(=O)N1CCC[C@@H]1C(=O)N2CCC[C@@H]2C(=O)NCC3=CC=CC=C3Cl,Inactive,0,,,,,,1,0,,,,,,-1.49581,-1.49581,13,-7.108,1.2,19.5,2.28,4.883,-5.057,-7.108,4.138,-6.961,,-5.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,17407167,11958468,C1=CC(=CC(=C1)NC2=NC3=C(N2)C=C(C=C3)Br)C(=O)NCC4=CC=CS4,Inactive,0,,,,,,1,0,,,,,,5.41558,5.41558,14,27.847,0.3,19.5,-2.693,27.847,1.568,24.458,0.809,4.178,-4.139,-1.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,103073763,41993032,CC1=CC=CC=C1NC(=O)CC2=NC(=CS2)COC(=O)C(C)(C)OC3=CC=C(C=C3)Cl,Inactive,0,,,,,,1,0,,>,19.5,4.71,4,0,100,15,19.404,19.5,19.5,-0.705,6.607,0.73,-11.979,-14.343,-0.198,-12.638,19.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,47196554,2949215,CC1=CC(=C(C(=C1)Br)OCCCNC2CCCC2)C.C(=O)(C(=O)O)O,Inactive,0,,,,,,1,0,,,,,,0.732744,0.732744,13,15.378,10,19.5,-7.885,,-9.349,-8.407,9.166,8.63,15.378,-6.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,26727207,2823708,C1CN(CCN1C2=C3C=CC(=CC3=NC=C2)Cl)S(=O)(=O)C4=CC=CS4,Inactive,0,,,,,,1,0,,>,19.5,4.71,4,0,100,12,21.137,19.5,19.5,-3.81,,-4.774,4.779,3.775,-5.525,-7.242,21.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,22407754,2120957,CC1=CC2=C(C=C1)C(=CC(=O)O2)COC(=O)CNC(=O)C3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,10.8405,10.8405,11,28.385,10,19.5,10.914,17.519,18.316,2.308,-2.083,21.701,28.385,-8.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,14728864,9547791,CC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,Inactive,0,,,,,,1,0,,>,19.5,4.71,4,0,100,12,12.393,19.5,19.5,3.772,2.604,-5.199,-15.582,4.289,-2.938,-5.599,12.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
