PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Algorithm,Common/Unique,Wells Analyzed,Wells Removed,Sumrank,DIST,Low/High,Expectation,Daily Filter replicate 1,Daily Filter replicate 2,Daily Filter replicate 3,Daily Filter replicate 4,Daily Filter replicate 5,Daily Filter replicate 6,Reference Wells replicate 1,Reference Wells replicate 2,Reference Wells replicate 3,Reference Wells replicate 4,Reference Wells replicate 5,Reference Wells replicate 6,Valid Objects replicate 1,Valid Objects replicate 2,Valid Objects replicate 3,Valid Objects replicate 4,Valid Objects replicate 5,Valid Objects replicate 6,Predicted Target Gene
RESULT_TYPE,,,,,,,,STRING,STRING,INTEGER,INTEGER,INTEGER,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,PUBCHEM_NCBI_GENE_ID
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
12489,104197676,,,Inactive,,,DRSC17884,,,,,,,,,7,24.96,,,,,56.67,98.22,,,,,3114,5084,,,,,31515
12490,104197677,,,Inactive,,,DRSC17885,,,,,,,,,13.05,12.72,,,,,51.16,51.09,,,,,4575,4968,,,,,31466
12491,104197678,,,Inactive,,,DRSC17886,,,,,,,,,2.11,1.39,,,,,6.46,5.37,,,,,6450,6859,,,,,31463
12492,104197679,,,Inactive,,,DRSC17887,,,,,,,,,10.62,10.45,,,,,43,46.92,,,,,6160,6468,,,,,31456
12493,104197680,,,Inactive,,,DRSC17888,,,,,,,,,10.8,19.89,,,,,49.71,56.43,,,,,4555,3705,,,,,31456
12494,104197681,,,Inactive,,,DRSC17889,,,,,,,,,3.72,1.31,,,,,23.85,6.72,,,,,6121,6344,,,,,31803
12495,104197682,,,Inactive,,,DRSC17890,,,,,,,,,4.09,7.05,,,,,16.28,31.49,,,,,6876,7230,,,,,31626
12496,104197683,,,Inactive,,,DRSC17891,,,,,,,,,19.64,14.89,,,,,12.08,87.7,,,,,5174,6574,,,,,31322
12497,104197685,,,Inactive,,,DRSC17893,,,,,,,,,10.79,3.69,,,,,97.83,33.63,,,,,5578,6729,,,,,31323
12498,104197686,,,Inactive,,,DRSC17894,,,,,,,,,3.47,12.46,,,,,7.58,21.22,,,,,6449,6348,,,,,31331
12499,104197687,,,Inactive,,,DRSC17895,,,,,,,,,5.99,12.21,,,,,48.49,96.82,,,,,6307,6247,,,,,31328
12500,104197688,,,Inactive,,,DRSC17896,,,,,,,,,11.03,6.39,,,,,77.28,51.02,,,,,4026,5287,,,,,31019
12501,104197689,,,Inactive,,,DRSC17897,,,,,,,,,9.56,0.98,,,,,70.63,8.76,,,,,4165,6866,,,,,31018
12502,104197690,,,Inactive,,,DRSC17898,,,,,,,,,10.2,1.21,,,,,80.96,17.55,,,,,3783,7166,,,,,50364
12503,104197691,,,Inactive,,,DRSC17899,,,,,,,,,1.99,3.47,,,,,18.53,39.67,,,,,6424,6477,,,,,31005
12504,104197692,,,Inactive,,,DRSC17900,,,,,,,,,9.77,1.21,,,,,92.42,14.45,,,,,6264,6503,,,,,"8674032,30988"
12505,104197693,,,Inactive,,,DRSC17901,,,,,,,,,15.65,9.1,,,,,86.46,72.72,,,,,5535,5737,,,,,3346142
12506,104197694,,,Inactive,,,DRSC17902,,,,,,,,,6.76,6.26,,,,,25.15,26.01,,,,,6464,6646,,,,,31914
12507,104197695,,,Inactive,,,DRSC17903,,,,,,,,,12.18,3.18,,,,,97.84,38.94,,,,,5708,6407,,,,,
12508,104197696,,,Inactive,,,DRSC17904,,,,,,,,,2.5,3.73,,,,,4.99,6.68,,,,,6560,6254,,,,,31770
12509,104197697,,,Inactive,,,DRSC17905,,,,,,,,,,25.72,,,,,8.74,99.51,,,,,360,5164,,,,,31687
12510,104197698,,,Inactive,,,DRSC17906,,,,,,,,,0.99,19.7,,,,,76.17,99.94,,,,,706,6641,,,,,31220
12511,104197699,,,Inactive,,,DRSC17907,,,,,,,,,1.87,4.26,,,,,18.52,44.41,,,,,6859,5515,,,,,31203
12512,104197700,,,Inactive,,,DRSC17908,,,,,,,,,2.71,0.32,,,,,32.58,3.4,,,,,5835,6587,,,,,31197
12513,104197701,,,Inactive,,,DRSC17909,,,,,,,,,10.58,8.05,,,,,87.11,71.6,,,,,5380,1999,,,,,31172
12514,104197702,,,Inactive,,,DRSC17910,,,,,,,,,,21.99,,,,,9.2,78.94,,,,,440,5144,,,,,31689
12515,104197703,,,Inactive,,,DRSC17911,,,,,,,,,4.07,2.03,,,,,60.82,14.55,,,,,6442,6348,,,,,31309
12516,104197704,,,Inactive,,,DRSC17912,,,,,,,,,4.24,11.32,,,,,39.58,57.97,,,,,6598,4055,,,,,31312
12517,104197705,,,Inactive,,,DRSC17913,,,,,,,,,4.01,0.88,,,,,44.99,7.41,,,,,6334,6162,,,,,31319
12518,104197707,,,Inactive,,,DRSC17915,,,,,,,,,2.28,3.71,,,,,9.31,10.57,,,,,6273,6571,,,,,31776
12519,104197708,,,Inactive,,,DRSC17916,,,,,,,,,,5.18,,,,,6,49.05,,,,,372,5872,,,,,31276
12520,104197709,,,Inactive,,,DRSC17917,,,,,,,,,3.66,,,,,,73.68,47.45,,,,,793,286,,,,,31284
12521,104197710,,,Inactive,,,DRSC17918,,,,,,,,,5.02,5.02,,,,,39.85,44.31,,,,,5441,5632,,,,,31285
12522,104197711,,,Inactive,,,DRSC17919,,,,,,,,,1.49,3.08,,,,,12.37,23.07,,,,,6304,5947,,,,,31286
12523,104197712,,,Inactive,,,DRSC17920,,,,,,,,,0.91,0.75,,,,,9.97,7.59,,,,,6278,6131,,,,,31287
12524,104197713,,,Inactive,,,DRSC17921,DF,Common,331,37,7,6,Low,0.0181269,0.45,0.61,,,,,1.5,2.22,,,,,6832,6841,,,,,31651
12525,104197714,,,Inactive,,,DRSC17922,,,,,,,,,3.83,8.71,,,,,18.45,33.74,,,,,6501,6248,,,,,"7354414,50395"
12526,104197715,,,Inactive,,,DRSC17923,,,,,,,,,5.39,2.45,,,,,25.31,8.56,,,,,6564,6358,,,,,"7354414,50395"
12527,104197716,,,Inactive,,,DRSC17924,,,,,,,,,1.74,2.56,,,,,6.3,9.53,,,,,6191,6794,,,,,31644
12528,104197717,,,Inactive,,,DRSC17925,,,,,,,,,2.81,2.24,,,,,10.18,7.39,,,,,6474,6971,,,,,31639
12529,104197719,,,Inactive,,,DRSC17927,,,,,,,,,6.64,2.24,,,,,27.33,7.07,,,,,6568,6439,,,,,31632
12530,104197721,,,Inactive,,,DRSC17929,,,,,,,,,5.39,5.37,,,,,19.21,24.12,,,,,6395,6486,,,,,31618
12531,104197722,,,Inactive,,,DRSC17930,,,,,,,,,4.04,3.3,,,,,8.74,7.82,,,,,6117,6066,,,,,31615
12532,104197723,,,Inactive,,,DRSC17931,,,,,,,,,3.65,4.69,,,,,24.29,20.67,,,,,6843,6979,,,,,31614
12533,104197724,,,Inactive,,,DRSC17932,,,,,,,,,4.73,1.7,,,,,20.36,7.94,,,,,6137,6194,,,,,31703
12534,104197728,,,Inactive,,,DRSC17936,,,,,,,,,2.9,4.85,,,,,12.82,25.83,,,,,6551,6860,,,,,31595
12535,104197729,,,Inactive,,,DRSC17937,,,,,,,,,2.85,4.57,,,,,5.72,8.98,,,,,6133,6498,,,,,31594
12536,104197730,,,Inactive,,,DRSC17938,,,,,,,,,6.95,7.81,,,,,32.07,33.44,,,,,6047,5800,,,,,31556
12537,104197731,,,Inactive,,,DRSC17939,,,,,,,,,3.55,5.21,,,,,13.52,16.93,,,,,6060,6276,,,,,31555
12538,104197733,,,Inactive,,,DRSC17941,,,,,,,,,1.58,0.47,,,,,20.61,4.44,,,,,5954,6128,,,,,31049
12539,104197734,,,Inactive,,,DRSC17942,,,,,,,,,3.28,0.21,,,,,40.68,58.61,,,,,6340,484,,,,,31035
12540,104197735,,,Inactive,,,DRSC17943,,,,,,,,,8.12,10.64,,,,,68.96,80.02,,,,,3339,5322,,,,,31031
12541,104197736,,,Inactive,,,DRSC17944,,,,,,,,,7.85,6.91,,,,,67.44,55.35,,,,,1808,2069,,,,,50366
12542,104197737,,,Inactive,,,DRSC17945,,,,,,,,,9.48,5.76,,,,,52.35,49.33,,,,,3303,6133,,,,,31032
12543,104197738,,,Inactive,,,DRSC17946,,,,,,,,,1.58,10.16,,,,,4.9,14.32,,,,,6847,6289,,,,,31920
12544,104197739,,,Inactive,,,DRSC17947,,,,,,,,,1.02,11.93,,,,,9.18,92.97,,,,,6395,4860,,,,,31085
12545,104197740,,,Inactive,,,DRSC17948,,,,,,,,,1.19,5.4,,,,,10.72,48.14,,,,,6454,5551,,,,,31089
12546,104197741,,,Inactive,,,DRSC17949,,,,,,,,,0.71,0.77,3.26,1.9,,,11.99,5.83,1.78,34.09,,,6232,6584,6385,6687,,,5740544
12547,104197742,,,Inactive,,,DRSC17950,,,,,,,,,4.26,0.69,,,,,45.87,4.79,,,,,5708,6254,,,,,
12548,104197743,,,Inactive,,,DRSC17951,,,,,,,,,0.54,7.72,,,,,4.73,71.28,,,,,6686,5443,,,,,
12549,104197744,,,Inactive,,,DRSC17952,,,,,,,,,4.92,13.56,,,,,7.67,27.82,,,,,5956,6591,,,,,5740544
12550,104197745,,,Inactive,,,DRSC17953,,,,,,,,,6.32,5.13,,,,,36.69,57.75,,,,,6776,5730,,,,,31100
12551,104197746,,,Inactive,,,DRSC17954,,,,,,,,,3.35,10.64,,,,,65.97,95.29,,,,,6886,5423,,,,,31110
12552,104197747,,,Inactive,,,DRSC17955,DF,Unique,264,104,515,14,High,0.0530303,20.58,14.89,,,,,93.49,95.03,,,,,5568,4594,,,,,31123
12553,104197748,,,Inactive,,,DRSC17956,,,,,,,,,11.63,5.65,,,,,91.19,49.21,,,,,2725,6459,,,,,31126
12554,104197749,,,Inactive,,,DRSC17957,,,,,,,,,,,,,,,20,86.67,,,,,307,249,,,,,31136
12555,104197751,,,Inactive,,,DRSC17959,,,,,,,,,,21.64,,,,,25.79,99.95,,,,,430,5005,,,,,31148
12556,104197752,,,Inactive,,,DRSC17960,,,,,,,,,8.51,11.62,,,,,87.77,84.79,,,,,1010,6670,,,,,
12557,104197753,,,Inactive,,,DRSC17961,,,,,,,,,14.7,0.22,,,,,86.57,28.37,,,,,1939,460,,,,,31131
12558,104197754,,,Inactive,,,DRSC17962,,,,,,,,,,,,,,,80.41,49.49,,,,,384,392,,,,,31132
12559,104197755,,,Inactive,,,DRSC17963,,,,,,,,,3.53,3.04,,,,,5.76,5.79,,,,,5670,6109,,,,,326240
12560,104197756,,,Inactive,,,DRSC17964,,,,,,,,,3.07,17.55,,,,,55.85,99.26,,,,,1172,5749,,,,,31152
12561,104197757,,,Inactive,,,DRSC17965,,,,,,,,,1.49,3.65,,,,,5.3,15.73,,,,,6117,6143,,,,,31672
12562,104197758,,,Inactive,,,DRSC17966,,,,,,,,,9.27,8.29,,,,,35.42,64.75,,,,,6030,6481,,,,,31670
12563,104197759,,,Inactive,,,DRSC17967,,,,,,,,,11.16,20.32,,,,,69.12,54.1,,,,,5592,2662,,,,,31673
12564,104197760,,,Inactive,,,DRSC17968,,,,,,,,,11.99,5.65,,,,,42.82,18.85,,,,,4271,5473,,,,,50396
12565,104197761,,,Inactive,,,DRSC17969,,,,,,,,,3.53,3.21,,,,,14.43,10.39,,,,,6318,6568,,,,,31704
12566,104197762,,,Inactive,,,DRSC17970,,,,,,,,,3.18,,,,,,7.83,19.19,,,,,5975,131,,,,,31706
12567,104197763,,,Inactive,,,DRSC17971,,,,,,,,,2.24,3.71,,,,,6.63,10.66,,,,,6163,6437,,,,,318916
12568,104197764,,,Inactive,,,DRSC17972,,,,,,,,,4,5.29,,,,,52.94,51.86,,,,,6724,4123,,,,,31343
12569,104197765,,,Inactive,,,DRSC17973,,,,,,,,,1.09,3.19,,,,,10.31,17.01,,,,,6712,5710,,,,,31344
12570,104197766,,,Inactive,,,DRSC17974,,,,,,,,,9.52,9.02,,,,,35.49,30.62,,,,,6409,6521,,,,,50410
12571,104197767,,,Inactive,,,DRSC17975,,,,,,,,,10.68,8.73,,,,,45.76,39.03,,,,,6254,6334,,,,,31918
12572,104197768,,,Inactive,,,DRSC17976,,,,,,,,,8.3,12.07,,,,,34.72,44.77,,,,,6129,5955,,,,,31919
12573,104197769,,,Inactive,,,DRSC17977,,,,,,,,,5.16,31.44,,,,,51.02,98.43,,,,,775,5992,,,,,
12574,104197770,,,Inactive,,,DRSC17978,,,,,,,,,3.29,5.85,,,,,12.92,20.81,,,,,6597,6773,,,,,31924
12575,104197771,,,Inactive,,,DRSC17979,,,,,,,,,3.62,1.45,,,,,13.76,3.83,,,,,6767,6622,,,,,"31928,31929"
12576,104197772,,,Inactive,,,DRSC17980,,,,,,,,,4.79,8.24,,,,,21.47,65.83,,,,,6414,6640,,,,,31930
12577,104197773,,,Inactive,,,DRSC17981,,,,,,,,,16.15,9.44,,,,,70.32,35.82,,,,,5405,4999,,,,,31931
12578,104197775,,,Inactive,,,DRSC17983,,,,,,,,,1.87,1.03,,,,,16.07,4.79,,,,,6372,6435,,,,,31986
12579,104197776,,,Inactive,,,DRSC17984,,,,,,,,,8.09,19.77,,,,,46.84,86.64,,,,,5671,5246,,,,,31987
12580,104197777,,,Inactive,,,DRSC17985,,,,,,,,,5.03,11.8,,,,,36.22,73.39,,,,,5442,5764,,,,,31987
12581,104197778,,,Inactive,,,DRSC17986,,,,,,,,,4.64,22.72,,,,,36.49,87.64,,,,,5599,5797,,,,,31987
12582,104197779,,,Inactive,,,DRSC17987,,,,,,,,,12.26,20.49,,,,,28.77,43.92,,,,,6475,6092,,,,,31713
12583,104197781,,,Inactive,,,DRSC17989,,,,,,,,,1.85,4.75,,,,,7.84,20.18,,,,,6102,6131,,,,,31987
12584,104197782,,,Inactive,,,DRSC17990,,,,,,,,,12.57,8.91,,,,,40.37,37.68,,,,,1241,2357,,,,,31970
12585,104197783,,,Inactive,,,DRSC17991,,,,,,,,,1.21,18.79,,,,,11.11,61.82,,,,,495,2368,,,,,50417
12586,104197784,,,Inactive,,,DRSC17992,,,,,,,,,9.58,5.11,,,,,54.53,42.67,,,,,4790,1448,,,,,44289
12587,104197785,,,Inactive,,,DRSC17993,,,,,,,,,9.14,10.53,,,,,29.05,48.95,,,,,1609,4985,,,,,31961
12588,104197787,,,Inactive,,,DRSC17995,,,,,,,,,5.07,16.65,,,,,24.51,75.39,,,,,6000,5286,,,,,50415
12589,104197788,,,Inactive,,,DRSC17996,,,,,,,,,8.47,1.97,,,,,19.75,3.67,,,,,7004,7000,,,,,31949
12590,104197789,,,Inactive,,,DRSC17997,,,,,,,,,3.54,1.8,,,,,12.64,5.92,,,,,6075,5945,,,,,31713
12591,104197790,,,Inactive,,,DRSC17998,,,,,,,,,5.18,8.25,,,,,20.47,34.04,,,,,6230,6301,,,,,
12592,104197791,,,Inactive,,,DRSC17999,,,,,,,,,5.07,6.11,,,,,26.38,26.67,,,,,6356,6419,,,,,31948
12593,104197792,,,Inactive,,,DRSC18000,,,,,,,,,8.6,4.59,,,,,20.65,7.19,,,,,5990,6399,,,,,31940
12594,104197793,,,Inactive,,,DRSC18001,,,,,,,,,1.69,0.78,,,,,6.11,2.04,,,,,6624,6549,,,,,31935
12595,104197797,,,Inactive,,,DRSC18005,,,,,,,,,5.61,5.87,,,,,14,26.3,,,,,6592,6505,,,,,31898
12596,104197798,,,Inactive,,,DRSC18006,,,,,,,,,15.56,12.79,,,,,68.4,63.08,,,,,5155,5653,,,,,43856
12597,104197799,,,Inactive,,,DRSC18007,,,,,,,,,4.08,2.93,,,,,23.87,9.16,,,,,5778,6222,,,,,31692
12598,104197800,,,Inactive,,,DRSC18008,,,,,,,,,5.6,11.08,,,,,25.38,45.24,,,,,5861,5802,,,,,31694
12599,104197801,,,Inactive,,,DRSC18009,,,,,,,,,4.38,0.97,,,,,19.49,3.59,,,,,5798,5672,,,,,31690
12600,104197802,,,Inactive,,,DRSC18010,,,,,,,,,6.42,5.43,,,,,21.12,22.33,,,,,5949,6132,,,,,7354416
12601,104197803,,,Inactive,,,DRSC18011,,,,,,,,,1.79,6.35,,,,,1.22,68.03,,,,,6763,6221,,,,,7354417
12602,104197804,,,Inactive,,,DRSC18012,,,,,,,,,7.04,8.24,,,,,41.45,38.98,,,,,5967,5884,,,,,7354418
12603,104197805,,,Inactive,,,DRSC18013,,,,,,,,,2.63,4.35,,,,,12.32,17.29,,,,,6353,6200,,,,,31705
12604,104197806,,,Inactive,,,DRSC18014,,,,,,,,,2.38,1.56,,,,,9.1,3.52,,,,,6390,6855,,,,,31715
12605,104197807,,,Inactive,,,DRSC18015,,,,,,,,,1.59,2.07,,,,,5.42,6.39,,,,,6270,6237,,,,,31714
12606,104197808,,,Inactive,,,DRSC18016,DF,Unique,331,37,646,17,High,0.0513595,27.01,26.67,,,,,78.31,83.07,,,,,4446,3086,,,,,31720
12607,104197809,,,Inactive,,,DRSC18017,,,,,,,,,4.81,26.93,,,,,51.54,84.03,,,,,499,1827,,,,,31733
12608,104197810,,,Inactive,,,DRSC18018,,,,,,,,,5.35,9.43,,,,,23.68,33.52,,,,,5834,5067,,,,,31733
12609,104197811,,,Inactive,,,DRSC18019,,,,,,,,,1.22,1.91,,,,,4.29,5.99,,,,,6466,6704,,,,,31742
12610,104197812,,,Inactive,,,DRSC18020,,,,,,,,,6.69,6.1,,,,,28.23,28.63,,,,,6221,6464,,,,,31748
12611,104197814,,,Inactive,,,DRSC18022,,,,,,,,,8.16,10.45,,,,,44.18,50.71,,,,,6786,6354,,,,,44861
12612,104197815,,,Inactive,,,DRSC18023,,,,,,,,,3.28,2.33,,,,,10.05,3.86,,,,,6898,6785,,,,,326232
12613,104197816,,,Inactive,,,DRSC18024,,,,,,,,,5.62,1.61,,,,,30.45,5.26,,,,,6231,6331,,,,,32001
12614,104197820,,,Inactive,,,DRSC18028,,,,,,,,,10.04,6.95,,,,,41.19,24.32,,,,,6187,6430,,,,,31765
12615,104197821,,,Inactive,,,DRSC18029,,,,,,,,,22.65,0.7,,,,,84.15,11.93,,,,,4067,426,,,,,31769
12616,104197822,,,Inactive,,,DRSC18030,,,,,,,,,0.62,2.86,,,,,4.14,45.9,,,,,6083,6816,,,,,50402
12617,104197823,,,Inactive,,,DRSC18031,,,,,,,,,2.37,1.77,,,,,10.99,5.56,,,,,6245,6323,,,,,31779
12618,104197824,,,Inactive,,,DRSC18032,,,,,,,,,10.33,11.94,,,,,52.73,63.41,,,,,4809,5228,,,,,3885650
12619,104197825,,,Inactive,,,DRSC18033,,,,,,,,,7.89,11.5,,,,,41.9,61.43,,,,,1547,2731,,,,,3885650
12620,104197826,,,Inactive,,,DRSC18034,,,,,,,,,2.55,1.13,,,,,7.63,3.17,,,,,6386,6633,,,,,31785
12621,104197827,,,Inactive,,,DRSC18035,,,,,,,,,0.36,1.47,,,,,1.08,5.53,,,,,6396,6796,,,,,31786
12622,104197828,,,Inactive,,,DRSC18036,,,,,,,,,10.45,8.15,,,,,38.98,27.21,,,,,6431,6687,,,,,31826
12623,104197829,,,Inactive,,,DRSC18037,,,,,,,,,2,6.08,,,,,8.56,23.64,,,,,6299,6431,,,,,8673992
12624,104197831,,,Inactive,,,DRSC18039,,,,,,,,,20.97,10.4,,,,,84.35,61.11,,,,,6066,6296,,,,,31832
12625,104197833,,,Inactive,,,DRSC18041,,,,,,,,,2.21,5.19,,,,,9.24,34.81,,,,,6141,6567,,,,,31862
12626,104197835,,,Inactive,,,DRSC18043,,,,,,,,,3.52,5.91,,,,,17.2,20.72,,,,,6454,6651,,,,,31865
12627,104197836,,,Inactive,,,DRSC18044,,,,,,,,,3.27,3.16,,,,,10.91,13.03,,,,,6202,6173,,,,,31887
12628,104197837,,,Inactive,,,DRSC18045,,,,,,,,,4.98,1.91,,,,,47.08,12.59,,,,,6102,6639,,,,,31356
12629,104197838,,,Inactive,,,DRSC18046,,,,,,,,,0.48,7.9,,,,,4.78,62.75,,,,,6856,5459,,,,,31354
12630,104197839,,,Inactive,,,DRSC18047,,,,,,,,,2.39,6.06,,,,,1,96.95,,,,,6809,6982,,,,,31436
12631,104197840,,,Inactive,,,DRSC18048,,,,,,,,,5.8,11.68,,,,,31.22,49.7,,,,,6206,6077,,,,,31434
12632,104197841,,,Inactive,,,DRSC18049,,,,,,,,,2.82,1.2,,,,,15,5.18,,,,,6415,6654,,,,,44531
12633,104197842,,,Inactive,,,DRSC18050,,,,,,,,,0.82,1.66,,,,,1.23,3.08,,,,,5847,6326,,,,,31429
12634,104197843,,,Inactive,,,DRSC18051,,,,,,,,,9.27,6.36,,,,,58.13,29.24,,,,,5941,1479,,,,,31426
12635,104197846,,,Inactive,,,DRSC18054,,,,,,,,,5.1,20.74,,,,,47.2,79.87,,,,,960,5799,,,,,31412
12636,104197847,,,Inactive,,,DRSC18055,,,,,,,,,2.86,3.73,,,,,13.61,16.23,,,,,595,4291,,,,,31409
12637,104197848,,,Inactive,,,DRSC18056,,,,,,,,,11.06,,,,,,55.36,55.38,,,,,2975,409,,,,,31401
12638,104197849,,,Inactive,,,DRSC18057,,,,,,,,,9.15,13.87,,,,,53.27,67.19,,,,,6003,6134,,,,,31679
12639,104197850,,,Inactive,,,DRSC18058,,,,,,,,,5,3.27,,,,,46.59,32.16,,,,,6956,5987,,,,,31366
12640,104197851,,,Inactive,,,DRSC18059,,,,,,,,,0.85,6.67,,,,,7.96,69.19,,,,,6689,5040,,,,,31365
12641,104197853,,,Inactive,,,DRSC18061,,,,,,,,,4.51,4.49,,,,,37.2,62.17,,,,,6503,6417,,,,,31367
12642,104197854,,,Inactive,,,DRSC18062,,,,,,,,,13.65,0.65,,,,,92.06,10.87,,,,,5672,6642,,,,,31368
12643,104197855,,,Inactive,,,DRSC18063,,,,,,,,,9.75,0.75,,,,,88.18,8.58,,,,,5304,6672,,,,,31368
12644,104197856,,,Inactive,,,DRSC18064,,,,,,,,,6.16,0.44,,,,,68.74,7.13,,,,,5713,7247,,,,,31369
12645,104197857,,,Inactive,,,DRSC18065,,,,,,,,,7.9,0.47,,,,,89.48,30.06,,,,,6205,423,,,,,50378
12646,104197858,,,Inactive,,,DRSC18066,,,,,,,,,8.65,8.52,,,,,67.73,58,,,,,6355,2841,,,,,50379
12647,104197859,,,Inactive,,,DRSC18067,,,,,,,,,13.37,7.1,,,,,74.15,67.1,,,,,5856,6252,,,,,50380
12648,104197860,,,Inactive,,,DRSC18068,,,,,,,,,2.39,1.65,,,,,9.98,5.53,,,,,6247,6624,,,,,31725
12649,104197861,,,Inactive,,,DRSC18069,,,,,,,,,23.48,10.73,,,,,37.16,14.87,,,,,5404,5734,,,,,31731
12650,104197862,,,Inactive,,,DRSC18070,,,,,,,,,8.33,2.26,,,,,43.44,8.35,,,,,6485,6450,,,,,31516
12651,104197864,,,Inactive,,,DRSC18072,,,,,,,,,0.75,1.57,,,,,2.59,3.64,,,,,6020,7060,,,,,31512
12652,104197865,,,Inactive,,,DRSC18073,,,,,,,,,1.06,0.7,,,,,3.47,2.84,,,,,6515,6976,,,,,31508
12653,104197866,,,Inactive,,,DRSC18074,,,,,,,,,2.09,2.94,,,,,8.16,13.41,,,,,6618,6944,,,,,31504
12654,104197867,,,Inactive,,,DRSC18075,,,,,,,,,13.88,11,,,,,47.1,64.92,,,,,5866,5375,,,,,31504
12655,104197868,,,Inactive,,,DRSC18076,,,,,,,,,3.36,3.45,,,,,6.05,6.84,,,,,5831,6109,,,,,31507
12656,104197869,,,Inactive,,,DRSC18077,DF,Common,331,37,21,20,Low,0.060423,1.03,0.25,,,,,3.25,1.1,,,,,6316,7097,,,,,31500
12657,104197870,,,Inactive,,,DRSC18078,,,,,,,,,2.36,1.34,,,,,8.39,4.13,,,,,6695,6921,,,,,31498
12658,104197871,,,Inactive,,,DRSC18079,,,,,,,,,14.09,20.85,,,,,61.81,97.44,,,,,6104,6010,,,,,31494
12659,104197872,,,Inactive,,,DRSC18080,,,,,,,,,6.63,6.43,,,,,24.36,22.34,,,,,6186,6902,,,,,31491
12660,104197873,,,Inactive,,,DRSC18081,,,,,,,,,7,4.76,,,,,31.62,16.97,,,,,6414,6364,,,,,31491
12661,104197874,,,Inactive,,,DRSC18082,,,,,,,,,2.17,4.35,,,,,11.89,15.79,,,,,6460,6688,,,,,7354434
12662,104197875,,,Inactive,,,DRSC18083,,,,,,,,,8.19,4.86,,,,,45.44,18.93,,,,,6474,6524,,,,,7354434
12663,104197876,,,Inactive,,,DRSC18084,,,,,,,,,9.38,20.57,,,,,49.4,90.32,,,,,6406,6437,,,,,31486
12664,104197877,,,Inactive,,,DRSC18085,,,,,,,,,4.25,4.39,,,,,21.29,17.92,,,,,6464,6625,,,,,44873
12665,104197878,,,Inactive,,,DRSC18086,,,,,,,,,2.36,1.69,,,,,9.3,4.32,,,,,6609,6859,,,,,31471
12666,104197880,,,Inactive,,,DRSC18088,,,,,,,,,2.63,7.25,2.76,4.44,,,12.36,29.21,0.69,46.65,,,6568,6452,762,6263,,,31469
12667,104197882,,,Inactive,,,DRSC18090,,,,,,,,,1.67,3.75,,,,,5.5,14.07,,,,,6151,6846,,,,,31461
12668,104197883,,,Inactive,,,DRSC18091,,,,,,,,,3.18,3.07,,,,,9.39,8.96,,,,,6157,6215,,,,,31438
12669,104197884,,,Inactive,,,DRSC18092,,,,,,,,,18.38,15.63,,,,,87.12,80.52,,,,,5702,3857,,,,,31438
12670,104197885,,,Inactive,,,DRSC18093,,,,,,,,,3.83,1.63,,,,,8.52,2.85,,,,,6509,6523,,,,,31874
12671,104197886,,,Inactive,,,DRSC18094,,,,,,,,,10.48,3.32,,,,,20.16,4.47,,,,,6299,6079,,,,,31747
12672,104197887,,,Inactive,,,DRSC18095,,,,,,,,,16.22,0.83,,,,,39.91,1.56,,,,,6516,6024,,,,,"3772383,3772603"
12673,104197888,,,Inactive,,,DRSC18096,,,,,,,,,22.9,7.39,,,,,91.65,38.99,,,,,5567,3911,,,,,"3772383,3772603"
12674,104197889,,,Inactive,,,DRSC18097,,,,,,,,,0.95,1.97,,,,,7.37,19.07,,,,,6664,6388,,,,,7354471
12675,104197890,,,Inactive,,,DRSC18098,,,,,,,,,2.06,2.31,,,,,9.2,6.44,,,,,6112,6439,,,,,31574
12676,104197892,,,Inactive,,,DRSC18100,,,,,,,,,10,5.83,,,,,44.07,30.54,,,,,5920,5902,,,,,31568
12677,104197893,,,Inactive,,,DRSC18101,,,,,,,,,1.4,2.23,,,,,3.11,6.44,,,,,6451,6448,,,,,31566
12678,104197894,,,Inactive,,,DRSC18102,,,,,,,,,1.1,4.63,,,,,5.91,20.18,,,,,6186,6075,,,,,50392
12679,104197895,,,Inactive,,,DRSC18103,,,,,,,,,1.69,3.92,,,,,1.17,69.4,,,,,6409,6758,,,,,31550
12680,104197896,,,Inactive,,,DRSC18104,,,,,,,,,3.26,5.53,,,,,12.8,18.83,,,,,6101,6387,,,,,"3771922,31874"
12681,104197897,,,Inactive,,,DRSC18105,,,,,,,,,17.59,0.95,,,,,92.75,20.71,,,,,4282,420,,,,,31385
12682,104197898,,,Inactive,,,DRSC18106,,,,,,,,,3.15,2.96,,,,,12.27,12.44,,,,,5785,5887,,,,,31499
