PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Algorithm,Common/Unique,Wells Analyzed,Wells Removed,Sumrank,DIST,Low/High,Expectation,Daily Filter replicate 1,Daily Filter replicate 2,Daily Filter replicate 3,Daily Filter replicate 4,Daily Filter replicate 5,Daily Filter replicate 6,Reference Wells replicate 1,Reference Wells replicate 2,Reference Wells replicate 3,Reference Wells replicate 4,Reference Wells replicate 5,Reference Wells replicate 6,Valid Objects replicate 1,Valid Objects replicate 2,Valid Objects replicate 3,Valid Objects replicate 4,Valid Objects replicate 5,Valid Objects replicate 6,Predicted Target Gene
RESULT_TYPE,,,,,,,,STRING,STRING,INTEGER,INTEGER,INTEGER,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,PUBCHEM_NCBI_GENE_ID
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
48,104179983,,,Inactive,,,DRSC00191,,,,,,,,,9.92,7.94,,,,,4.35,86.01,,,,,5766,2103,,,,,
49,104179987,,,Inactive,,,DRSC00195,,,,,,,,,2.64,2.79,,,,,7.06,7.34,,,,,5533,5378,,,,,44817
50,104179993,,,Inactive,,,DRSC00201,,,,,,,,,2.86,3.76,,,,,10.12,10.44,,,,,5877,5641,,,,,261617
51,104179996,,,Inactive,,,DRSC00204,,,,,,,,,5.93,1.67,,,,,28.78,7.61,,,,,6042,5809,,,,,
52,104179999,,,Inactive,,,DRSC00207,,,,,,,,,3.36,1.9,,,,,11.18,5.46,,,,,6161,5197,,,,,319046
53,104180007,,,Inactive,,,DRSC00215,,,,,,,,,4.38,0.24,,,,,28.74,1.51,,,,,6284,5325,,,,,
54,104180010,,,Inactive,,,DRSC00218,,,,,,,,,10.33,11.2,,,,,4.88,93.62,,,,,1733,1697,,,,,
55,104180011,,,Inactive,,,DRSC00219,,,,,,,,,0.65,8.1,,,,,4.5,33.14,,,,,6263,6769,,,,,
56,104180013,,,Inactive,,,DRSC00221,,,,,,,,,1.08,2.99,,,,,8.42,12.55,,,,,6372,6621,,,,,
57,104180015,,,Inactive,,,DRSC00223,,,,,,,,,3.29,2.24,,,,,8.35,5.67,,,,,5986,2639,,,,,319048
58,104180025,,,Inactive,,,DRSC00233,,,,,,,,,2.76,1.87,,,,,8.81,4.87,,,,,6056,5923,,,,,318824
59,104180026,,,Inactive,,,DRSC00234,,,,,,,,,7.94,5.44,,,,,23.99,18.83,,,,,5630,5915,,,,,318824
60,104180038,,,Inactive,,,DRSC00246,,,,,,,,,1.71,6.03,,,,,15.4,39.03,,,,,6767,6430,,,,,5740672
61,104180048,,,Inactive,,,DRSC00256,,,,,,,,,3.65,3.34,,,,,10.28,8.25,,,,,4632,4697,,,,,33681
62,104180052,,,Inactive,,,DRSC00260,,,,,,,,,2.48,0.89,,,,,40.11,6.6,,,,,6365,6946,,,,,33695
63,104180055,,,Inactive,,,DRSC00263,,,,,,,,,5.42,5.64,,,,,15.99,10.27,,,,,6713,6630,,,,,33636
64,104180056,,,Inactive,,,DRSC00264,,,,,,,,,6.56,26.24,,,,,44.96,88.75,,,,,6208,4699,,,,,33648
65,104180057,,,Inactive,,,DRSC00265,,,,,,,,,4.14,2.91,,,,,29.66,6.46,,,,,5577,5799,,,,,249663
66,104180058,,,Inactive,,,DRSC00266,,,,,,,,,0.9,4.61,,,,,29.6,26.15,,,,,6235,5488,,,,,33356
67,104180059,,,Inactive,,,DRSC00267,,,,,,,,,4.41,9.41,,,,,23.94,42.8,,,,,5467,5619,,,,,33223
68,104180060,,,Inactive,,,DRSC00268,,,,,,,,,5.27,2.77,,,,,22.02,15.21,,,,,2447,2527,,,,,33524
69,104180061,,,Inactive,,,DRSC00269,,,,,,,,,4.35,11.98,,,,,22.89,42.84,,,,,6626,4683,,,,,33642
70,104180062,,,Inactive,,,DRSC00270,,,,,,,,,6.16,3.07,,,,,14.36,5.3,,,,,6265,6255,,,,,33419
71,104180063,,,Inactive,,,DRSC00271,,,,,,,,,7.54,7.95,,,,,57.48,54.02,,,,,6303,6340,,,,,33635
72,104180065,,,Inactive,,,DRSC00273,,,,,,,,,7.71,10.63,,,,,44.73,57.33,,,,,6189,5642,,,,,33389
73,104180066,,,Inactive,,,DRSC00274,,,,,,,,,18.98,3.58,,,,,91.77,15.12,,,,,3424,5622,,,,,33161
74,104180067,,,Inactive,,,DRSC00275,,,,,,,,,9.72,10.6,,,,,22.21,20.66,,,,,6348,6535,,,,,44441
75,104180068,,,Inactive,,,DRSC00276,,,,,,,,,8.28,1.36,,,,,23.96,3.39,,,,,6231,6817,,,,,33669
76,104180069,,,Inactive,,,DRSC00277,,,,,,,,,3.3,7.22,,,,,8.6,12.49,,,,,6118,6328,,,,,49638
77,104180070,,,Inactive,,,DRSC00278,,,,,,,,,13.52,6.53,,,,,33.48,15.42,,,,,6270,6818,,,,,5740176
78,104180072,,,Inactive,,,DRSC00280,,,,,,,,,2.68,0.62,,,,,5.49,1.26,,,,,6453,6098,,,,,33601
79,104180073,,,Inactive,,,DRSC00281,,,,,,,,,4.24,1.38,,,,,13.69,2.66,,,,,6603,6506,,,,,319047
80,104180074,,,Inactive,,,DRSC00282,,,,,,,,,2.37,1.15,,,,,6.89,2.03,,,,,6578,7124,,,,,33603
