PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
16,440185463,155551943,CN1C=CC2=C1N(C3=C2C(=NC=N3)Cl)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,Inactive,,,Potential missing data,Activity,Not Active
17,440185549,155551973,CN1C=CC2=C1N(C3=NC=NC(=C23)C4=CC=CO4)[C@H]5[C@@H]([C@@H]([C@H](O5)CO)O)O,Inactive,,,Potential missing data,Activity,Not Active
18,440195355,155555792,CN1C=CC2=C1N(C3=NC=NC(=C23)C4=CC5=CC=CC=C5O4)[C@H]6[C@@H]([C@@H]([C@H](O6)CO)O)O,Inactive,,,Potential missing data,Activity,Not Active
19,440198293,134229916,CN1C=CC2=C1C3=C(N=CN=C3N2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)N,Inactive,,,Potential missing data,Activity,Not Active
20,440207323,134229903,CN1C=CC2=C1C3=C(N2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)N=CN=C3SC,Inactive,,,Potential missing data,Activity,Not Active
21,440211724,134229914,CN1C=CC2=C1C3=C(N=CN=C3N2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)C5=COC=C5,Inactive,,,Potential missing data,Activity,Not Active
22,440220482,134229934,CN1C=CC2=C1C3=C(N=CN=C3N2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)C5=CC=CO5,Inactive,,,Potential missing data,Activity,Not Active
23,440223703,134229890,CC1=C2C3=C(C=CO3)N(C2=NC=N1)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,Inactive,,,Potential missing data,Activity,Not Active
24,440226742,134229902,C1=COC=C1C2=C3C4=C(C=CO4)N(C3=NC=N2)[C@H]5[C@@H]([C@@H]([C@H](O5)CO)O)O,Inactive,,,Potential missing data,Activity,Not Active
25,440227324,134229893,CN1C=CC2=C1C3=C(N2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)N=CN=C3N(C)C,Inactive,,,Potential missing data,Activity,Not Active
26,440227687,134229926,CSC1=NC=NC2=C1C3=C(N2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)C=CO3,Inactive,,,Potential missing data,Activity,Not Active
