PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Calu_1_Mean,Calu_1[1],Calu_1[2],Calu_1[3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT
57,126496581,53469932,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)C4=CSC=C4)NC2=O)NC(=O)[C@H]5C[C@@H]5C6=CC=CC=C6.C(=O)(C(F)(F)F)O,Active,100,,108B_lib_28,41.2773,29.9033,52.0787,41.8498
58,126496582,53469934,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)C4=CC(=C(C=C4)F)F)NC2=O)NC(=O)[C@H]5C[C@@H]5C6=CC=CC=C6.C(=O)(C(F)(F)F)O,Inactive,0,,1099_lib_28,58.9539,41.167,58.1571,77.5375
59,126496583,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,Inactive,0,,1091_lib_28,80.0655,68.9963,83.491,87.7091
60,126496584,60854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,Inactive,0,,1070_lib_28,75.0588,66.6849,79.4434,79.0481
61,126496585,53469936,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,117H_lib_27,20.7052,15.4399,24.8012,21.8745
62,126496586,53469938,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,1185_lib_27,41.3432,41.8015,41.2317,40.9966
63,126496587,53469940,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,T8X_lib_27,17.9631,14.6876,20.4077,18.794
64,126496588,53469942,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,100,,T8L_lib_27,1.50518,1.49375,0.504467,2.51733
65,126496589,53469944,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,11N1_lib_27,18.2764,14.1085,16.4544,24.2663
66,126496590,53469946,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,11M1_lib_27,6.90304,5.71307,8.36531,6.63073
67,126496591,53469948,CN1C2=CC=CC=C2N(C1=O)C3CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,115V_lib_27,71.6398,55.0892,71.7925,88.0378
68,126496592,53469950,CN1C2=CC=CC=C2N(C1=O)C3CCN(CC3)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,115G_lib_27,84.3558,70.4913,86.3439,96.2323
69,126496593,53469952,CN1C2=CC=CC=C2N(C1=O)C3CCN(CC3)CCNC(=O)[C@H]4C[C@@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,1154_lib_27,76.2012,64.3667,77.2018,87.0352
70,126496594,53469954,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,11XE_lib_27,5.03727,3.61658,8.56724,2.92799
71,126496595,53469956,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,11X4_lib_27,6.5057,3.50611,7.58528,8.42571
72,126496596,53469958,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,11WU_lib_27,22.8383,21.1012,25.2777,22.1361
73,126496597,53469960,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,11WH_lib_27,0,0,0,0
74,126496598,53469962,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,100,,11V7_lib_27,0,0,0,0
75,126496599,53469964,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,11VF_lib_27,91.2929,82.0647,88.1163,103.698
