PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
9,469800001,164609903,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)OC5=CC=CC=C5,Inactive,,,Potential missing data,Inhibition,%,Not Active
10,469800171,164610024,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)Cl,Inactive,,,Potential missing data,Inhibition,%,Not Active
11,469800217,164610057,CCCC[C@@H](C(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
12,469800793,164610466,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)C5=CN=CN=C5,Inactive,,,Potential missing data,Inhibition,%,Not Active
13,469800885,164610537,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
14,469800897,164610544,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=C(C=CC=C2Cl)Cl)C(=O)NC3=CC=CC(=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
15,469801282,164610829,CCCCCC(=O)N[C@H](C1=CC=C(C=C1)OCC2=CC=C(C=C2)C(F)(F)F)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
16,469801494,164610989,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=C(C=CC=C2Cl)Cl)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
17,469802161,164611470,CCCCCCN[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
18,469802462,164611683,CCCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
19,469802855,164611973,C1=CC=C(C=C1)CN[C@@H](C2=CC=C(C=C2)OCC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
20,469802966,164612051,COCCOCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
21,469803169,164612199,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)CCCCCN,Inactive,,,Potential missing data,Inhibition,%,Not Active
22,469803673,164612576,C1COCCN1C(=O)C2=CC=CC(=C2)C(=O)N[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)C(=O)NC5=CC=CC(=C5)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
23,469804096,164612883,CCCCCC(=O)N[C@H](C1=CC=C(C=C1)OCC2=CC(=C(C=C2)Cl)Cl)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
24,469804284,164613024,C1COC2=C(O1)C=CC(=C2)C(=O)N[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)C(=O)NC5=CC=CC(=C5)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
25,469804985,164613509,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)C(=O)C5=CC=CC=C5,Inactive,,,Potential missing data,Inhibition,%,Not Active
26,469805151,164613625,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)OCC4=CC=CC=C4,Inactive,,,Potential missing data,Inhibition,%,Not Active
27,469805728,164614022,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NC3=CC=CC=C3C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
28,469806057,164614261,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)Cl,Inactive,,,Potential missing data,Inhibition,%,Not Active
29,469806328,164614457,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)OC5=CC(=CC=C5)Cl,Inactive,,,Potential missing data,Inhibition,%,Not Active
30,469806480,159870737,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)C5=CC=C(C=C5)Cl,Inactive,,,Potential missing data,Inhibition,%,Not Active
31,469806539,164614605,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)NC(=O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
32,469806670,164614694,COC1=CC=CC(=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)C(=O)C5=CC=CC=C5,Inactive,,,Potential missing data,Inhibition,%,Not Active
33,469807893,164615583,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC(=CC=C2)OC)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
34,469808488,164616019,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)/C=C/C4=CC=CC=C4,Inactive,,,Potential missing data,Inhibition,%,Not Active
35,469808507,164616028,C1CN(CCC1C(=O)N[C@@H](C2=CC=C(C=C2)OCC3=CC=CC=C3)C(=O)NC4=CC=CC(=C4)C(=O)N)C5=CC=CC=C5,Inactive,,,Potential missing data,Inhibition,%,Not Active
36,469809179,164616527,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)C4=CC5=CC=CC=C5S4,Inactive,,,Potential missing data,Inhibition,%,Not Active
37,469809519,164616784,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NC3=CC=CC(=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
38,469810199,164617278,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=C(C=C2)C(F)(F)F)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
39,469810307,164617362,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
40,469810362,164617402,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NNC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
41,469810444,164617465,C1=CC=C(C=C1)OC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)OC5=CC=CC=C5,Inactive,,,Potential missing data,Inhibition,%,Not Active
42,469811200,164617996,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
43,469811225,164618012,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)C(F)(F)F,Inactive,,,Potential missing data,Inhibition,%,Not Active
44,469811518,164618229,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)OCC5=CC=CC=C5,Inactive,,,Potential missing data,Inhibition,%,Not Active
45,469811606,164618289,COC1=CC=CC=C1OC2=CC=C(C=C2)C(=O)N[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)C(=O)NC5=CC=CC(=C5)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
46,469811759,164618397,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC(=CC=C3)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
47,469811772,164618407,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3CCC(CC3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
48,469812127,164618660,CCCC(C(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
49,469812995,164619292,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)C#N,Inactive,,,Potential missing data,Inhibition,%,Not Active
50,469813093,164619367,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NC3=CC=C(C=C3)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
51,469814271,164620207,C1=CC=C(C=C1)CCC(=O)N[C@@H](C2=CC=C(C=C2)OCC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
52,469815144,164620846,COC1=CC=CC(=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)OC5=CC=CC=C5,Inactive,,,Potential missing data,Inhibition,%,Not Active
53,469815706,164621269,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=C(C=C2)C(C)(C)C)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
54,469815992,164621467,C1COCCN1C(=O)C2=CC=C(C=C2)C(=O)N[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)C(=O)NC5=CC=CC(=C5)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
55,469816345,164621711,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC(=CC=C4)OC5=CC=CC=C5,Inactive,,,Potential missing data,Inhibition,%,Not Active
56,469816516,164621835,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NC3=CC=C(C=C3)CO,Inactive,,,Potential missing data,Inhibition,%,Not Active
57,469816676,164621961,C1COCCN1C2=CC=C(C=C2)C(=O)N[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)C(=O)NC5=CC=CC(=C5)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
58,469817199,164622336,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)CC4=CC=C(C=C4)C5=CC=CC=C5,Inactive,,,Potential missing data,Inhibition,%,Not Active
59,469817654,164622662,C1COC2=C(O1)C=CC(=C2)OC3=CC=C(C=C3)C(=O)N[C@@H](C4=CC=C(C=C4)OCC5=CC=CC=C5)C(=O)NC6=CC=CC(=C6)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
60,469817804,164622771,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)C4=CC=CS4,Inactive,,,Potential missing data,Inhibition,%,Not Active
61,469817861,164622815,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCCC3=CC=C(C=C3)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
62,469818320,164623162,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)N[C@@H](C2=CC=C(C=C2)OCC3=CC=CC=C3)C(=O)NC4=CC=CC(=C4)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
63,469818441,164623254,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=C(C=C2)O)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
64,469818618,164623363,CCCCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NC3=CC=CC(=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
65,469819142,164623743,C1CC(=O)C2=C1C=CC=C2OC3=CC=C(C=C3)C(=O)N[C@@H](C4=CC=C(C=C4)OCC5=CC=CC=C5)C(=O)NC6=CC=CC(=C6)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
66,469819167,164623761,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)NO,Inactive,,,Potential missing data,Inhibition,%,Not Active
67,469819277,164623842,CC(C)CCOC1=CC=C(C=C1)C(=O)N[C@@H](C2=CC=C(C=C2)OCC3=CC=CC=C3)C(=O)NC4=CC=CC(=C4)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
68,469819851,164624260,CCCCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
69,469820195,164624504,C1CC(C1)C(=O)N[C@@H](C2=CC=C(C=C2)OCC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
70,469821415,164625374,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)N3CCCCC3,Inactive,,,Potential missing data,Inhibition,%,Not Active
71,469821434,164625389,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)C4=CC=C(S4)C5=CC=CS5,Inactive,,,Potential missing data,Inhibition,%,Not Active
72,469821480,164625423,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC5=CC=CC=C5C=C4,Inactive,,,Potential missing data,Inhibition,%,Not Active
73,469822619,164626046,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)C(=O)N)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
74,469822620,164626047,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NC3=CC=C(C=C3)CC(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
75,469823347,164626332,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)O)C(=O)NCC2=CC=C(C=C2)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
76,469823726,164626506,CCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
77,469824294,164626812,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)C5=CC=CC=C5,Inactive,,,Potential missing data,Inhibition,%,Not Active
78,469824818,164627069,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)CN,Inactive,,,Potential missing data,Inhibition,%,Not Active
79,469825109,164627197,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)OC5=CC=CC=C5,Inactive,,,Potential missing data,Inhibition,%,Not Active
80,469825432,164627355,C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)N[C@@H](C3=CC=C(C=C3)OCC4=C(C=CC=C4Cl)Cl)C(=O)NC5=CC=CC(=C5)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
81,469825641,164627515,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
82,469825996,164627679,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)N3CCC(CC3)C(=O)NC4=CC=CC=C4,Inactive,,,Potential missing data,Inhibition,%,Not Active
83,469826062,164627724,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)C(F)(F)F)C(=O)NCC2=CC=C(C=C2)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
84,469826078,164627736,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
85,469826931,164628159,CCCCCC(=O)N[C@@H](C1=CC=CC=C1)C(=O)NCC2=CC=C(C=C2)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
86,469827159,164628327,CCCCCC(=O)N[C@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
87,469828822,164629090,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)C5=CC=CO5,Inactive,,,Potential missing data,Inhibition,%,Not Active
88,469829007,164629219,CCCCCCCS(=O)(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
