bit,active_count,inactive_count,P_active,P_inactive,enrichment,log_odds
1982,54,62,0.022462562396006656,0.023673157693776252,0.9488621117505556,-0.05249178940054514
780,20,23,0.008319467554076539,0.008781977854142803,0.947334153822593,-0.05410339288950161
650,1960,2255,0.8153078202995009,0.8610156548300878,0.9469140493917055,-0.054546950853090914
1820,13,15,0.005407653910149751,0.0057273768613974796,0.944176373686827,-0.057442293755751835
1442,32,37,0.013311148086522463,0.014127529591447117,0.9422134284793685,-0.05952346055776252
1804,19,22,0.007903494176372712,0.008400152730049638,0.9408750574274979,-0.06094492459117568
98,19,22,0.007903494176372712,0.008400152730049638,0.9408750574274979,-0.06094492459117568
58,31,36,0.012895174708818636,0.013745704467353952,0.938123960516704,-0.06387318463851129
2,93,108,0.03868552412645591,0.041237113402061855,0.9381239602166052,-0.0638731849584038
1013,43,50,0.01788685524126456,0.019091256204658267,0.9369134778678848,-0.06516434052927225
1347,43,50,0.01788685524126456,0.019091256204658267,0.9369134778678848,-0.06516434052927225
387,92,107,0.03826955074875208,0.04085528827796869,0.9367098451173588,-0.06538170839487224
1670,213,248,0.08860232945091515,0.09469263077510501,0.9356834711644808,-0.06647803153035331
1069,6,7,0.0024958402662229617,0.002672775868652157,0.9338008106536435,-0.06849212832226374
846,12,14,0.004991680532445923,0.005345551737304314,0.9338008094152458,-0.06849212964845419
1235,12,14,0.004991680532445923,0.005345551737304314,0.9338008094152458,-0.06849212964845419
1949,18,21,0.0074875207986688855,0.008018327605956471,0.9338008090024467,-0.06849213009051756
1714,18,21,0.0074875207986688855,0.008018327605956471,0.9338008090024467,-0.06849213009051756
722,24,28,0.009983361064891847,0.010691103474608629,0.933800808796047,-0.06849213031154935
333,53,62,0.02204658901830283,0.023673157693776252,0.9312905912408082,-0.07118392232870047
1035,29,34,0.012063227953410981,0.012982054219167621,0.929223353779993,-0.07340614519035978
586,23,27,0.00956738768718802,0.010309278350515464,0.9280366063552828,-0.07468410047039178
248,17,20,0.007071547420965058,0.007636502481863307,0.9260191357441537,-0.07686037959898483
45,129,152,0.05366056572379368,0.05803741886216113,0.9245856687524122,-0.07840956749145098
702,22,26,0.009151414309484194,0.009927453226422299,0.9218290037312341,-0.08139553495635664
1961,33,39,0.01372712146422629,0.014891179839633447,0.92182900346876,-0.08139553524108857
713,76,90,0.03161397670549085,0.03436426116838488,0.9199667223626804,-0.08341778093816254
1037,16,19,0.0066555740432612314,0.007254677357770141,0.9174183389962791,-0.08619170683325598
1543,16,19,0.0066555740432612314,0.007254677357770141,0.9174183389962791,-0.08619170683325598
947,106,126,0.04409317803660566,0.048109965635738834,0.9165082007915613,-0.08718426379744405
458,21,25,0.008735440931780365,0.009545628102329133,0.9151247929024637,-0.0886948373205451
950,68,81,0.028286189683860232,0.030927835051546393,0.9145868000543168,-0.08928290034175766
484,26,31,0.010815307820299502,0.011836578846888126,0.913719071095528,-0.09023211681328379
378,1097,1308,0.45632279534109815,0.49942726231386025,0.9136922026153976,-0.09026152287038632
1882,5,6,0.0020798668885191347,0.002290950744558992,0.9078619008604303,-0.09666300351134122
1214,5,6,0.0020798668885191347,0.002290950744558992,0.9078619008604303,-0.09666300351134122
512,5,6,0.0020798668885191347,0.002290950744558992,0.9078619008604303,-0.09666300351134122
889,5,6,0.0020798668885191347,0.002290950744558992,0.9078619008604303,-0.09666300351134122
1133,5,6,0.0020798668885191347,0.002290950744558992,0.9078619008604303,-0.09666300351134122
1208,20,24,0.008319467554076539,0.009163802978235968,0.9078618978440592,-0.09666300683384109
1152,1619,1952,0.6734608985024958,0.7453226422298588,0.9035830395508647,-0.10138726442847248
366,150,181,0.06239600665557404,0.06911034746086292,0.9028460853944368,-0.10220318816125079
1168,24,29,0.009983361064891847,0.011072928598701794,0.9016007811973277,-0.10358344980028253
1335,14,17,0.005823627287853577,0.006491027109583811,0.8971811702245159,-0.10849746382279757
1019,738,899,0.3069883527454243,0.3432607865597556,0.8943298063047178,-0.11168066098411243
926,974,1188,0.4051580698835274,0.4536082474226804,0.8931893813576869,-0.11295664740107882
1088,1378,1681,0.5732113144758736,0.6418480336006109,0.8930639099585481,-0.11309713296374241
1224,241,294,0.10024958402662229,0.11225658648339061,0.8930396618834581,-0.11312428488871899
1300,9,11,0.0037437603993344427,0.004200076365024819,0.8913553194828134,-0.11501214370751725
656,349,427,0.14517470881863562,0.1630393279877816,0.8904275466620696,-0.11605354209810735
1504,22,27,0.009151414309484194,0.010309278350515464,0.887687189109401,-0.11913586256612677
440,13,16,0.005407653910149751,0.0061092019854906456,0.885165351297337,-0.1219808138020731
1512,13,16,0.005407653910149751,0.0061092019854906456,0.885165351297337,-0.1219808138020731
39,26,32,0.010815307820299502,0.012218403970981291,0.8851653503574871,-0.12198081486385196
335,69,85,0.02870216306156406,0.03245513554791905,0.8843642951590737,-0.1228862026375619
807,1885,2325,0.7841098169717138,0.8877434135166093,0.8832617680341902,-0.12413366927184384
460,17,21,0.007071547420965058,0.008018327605956471,0.8819229869729456,-0.12565054314484533
896,334,413,0.1389351081530782,0.15769377625047729,0.8810437004456815,-0.12664805104609864
834,38,47,0.015806988352745424,0.01794578083237877,0.8808192027032705,-0.12690289237708383
595,25,31,0.010399334442595673,0.011836578846888126,0.878576030224484,-0.12945282959671897
1535,269,334,0.11189683860232945,0.12752959144711723,0.8774186237473198,-0.1307710644126993
1977,41,51,0.017054908485856904,0.019473081328751432,0.875819712882001,-0.13259501643928379
